school,county,type
ACCELERATION ACADEMIES LLC,MIAMI-DADE,k12
ACCELERATION ACADEMY,ST. LUCIE,k12
ACCELERATION EAST,ORANGE,k12
ACCELERATION WEST,ORANGE,k12
ACCESS CHARTER,ORANGE,k12
ACE ACADEMY SCHOOL,MIAMI-DADE,k12
ACE ACADEMY SOUTH,MIAMI-DADE,k12
ACHIEVE CENTER AT RICHEY,PASCO,k12
ACHIEVE CENTER OF PASCO,PASCO,k12
ACHIEVEMENT ACADEMY,POLK,k12
ACHIEVEMENT CENTER OF SARASOTA THE,SARASOTA,k12
ACREAGE PINES ELEMENTARY SCHOOL,PALM BEACH,k12
ACTON ACADEMY CENTRAL MIAMI,MIAMI-DADE,k12
ACTS ACADEMY,LEON,k12
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,university
ADA MERRITT K-8 CENTER,MIAMI-DADE,k12
ADAMS MIDDLE SCHOOL,HILLSBOROUGH,k12
ADDIE R. LEWIS SCHOOL,OKALOOSA,k12
ADDISON MIZNER ELEMENTARY SCHOOL,PALM BEACH,k12
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university
ADHERE ACADEMY,BROWARD,k12
ADMIRAL FARRAGUT ACADEMY,PINELLAS,k12
ADULT EDUCATION CENTER,LEE,k12
ADULT EDUCATION CENTER OF PALM BEACH,PALM BEACH,k12
ADULT LEARNING CENTER OSCEOLA,OSCEOLA,k12
ADULT/COMMUNITY EDUCATION,WAKULLA,k12
ADVANCE ACHIEVERS ACADEMY,MIAMI-DADE,k12
ADVANCE LEARNING ACADEMY,SEMINOLE,k12
ADVANCE PREP ACADEMY,POLK,k12
ADVANCED SACRED HOPE ACADEMY,OKALOOSA,k12
ADVANTAGE ACADEMY OF HILLSBOROUGH,HILLSBOROUGH,k12
ADVENT LUTHERAN SCHOOL,PALM BEACH,k12
ADVENTHEALTH UNIVERSITY,ORANGE,university
ADVENTURE CHRISTIAN ACADEMY,LAKE,k12
AGAPE CHRISTIAN SCHOOL OF SARASOTA INC.,SARASOTA,k12
AGENORIA S PASCHAL/OLINDA ELEMENTARY SCHOOL,MIAMI-DADE,k12
AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION,MIAMI-DADE,k12
AIRALA EYE INSTITUTE,MIAMI-DADE,k12
AL-FURQAN ACADEMY,DUVAL,k12
ALACHUA ACADEMY,ALACHUA,k12
ALACHUA COUNTY PUBLIC SCHOOLS,ALACHUA,k12
ALACHUA DISTRICT OFFICE,ALACHUA,k12
ALACHUA ELEMENTARY SCHOOL,ALACHUA,k12
ALACHUA LEARNING ACADEMY ELEMENTARY SCHOOL,ALACHUA,k12
ALACHUA LEARNING ACADEMY MIDDLE,ALACHUA,k12
ALAFIA ELEMENTARY SCHOOL,HILLSBOROUGH,k12
ALANE ACADEMY,HARDEE,k12
ALAZHAR SCHOOL,BROWARD,k12
ALCO LEARNING CENTER,OSCEOLA,k12
ALCO POINCIANA,OSCEOLA,university
ALDEN ROAD EXCEP. STUDENT CENTER,DUVAL,k12
ALETHEIA CHRISTIAN ACADEMY,ESCAMBIA,k12
ALEXANDER ELEMENTARY SCHOOL,HILLSBOROUGH,k12
ALEXANDER MONTESSORI SCHOOL,MIAMI-DADE,k12
"ALEXANDER SCHOOL, INC.",MIAMI-DADE,k12
ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS,PALM BEACH,k12
ALFRED ADLER ELEMENTARY SCHOOL,PINELLAS,k12
ALFRED I. DUPONT MIDDLE SCHOOL,DUVAL,k12
ALHAMBRA HEIGHTS CHALLENGER SCHOOL,MIAMI-DADE,k12
ALICE B. LANDRUM MIDDLE SCHOOL,ST. JOHNS,k12
ALIMACANI ELEMENTARY SCHOOL,DUVAL,k12
ALL ABOUT KIDS LEARNING CENTER,PALM BEACH,k12
ALL ANGELS ACADEMY,MIAMI-DADE,k12
ALL HOPE CHRISTIAN ACADEMY,POLK,k12
ALL SAINTS CATHOLIC SCHOOL,BROWARD,k12
ALL SAINTS CATHOLIC SCHOOL,PALM BEACH,k12
ALL SAINTS' ACADEMY,POLK,k12
ALL SOULS CATHOLIC SCHOOL,SEMINOLE,k12
ALL STARS EDUCATION ACADEMY,MIAMI-DADE,k12
ALL VILLAGES CHRISTIAN SCHOOL,ST. LUCIE,k12
ALLAMANDA ELEMENTARY SCHOOL,PALM BEACH,k12
ALLAPATTAH FLATS K-8,ST. LUCIE,k12
ALLAPATTAH WYNWOOD CHILDCARE SCHOOL,MIAMI-DADE,k12
ALLEN D NEASE HIGH,ST. JOHNS,k12
ALLEN PARK ELEMENTARY SCHOOL,LEE,k12
ALLISON ACADEMY,MIAMI-DADE,k12
ALOMA ELEMENTARY SCHOOL,ORANGE,k12
ALOMA HIGH CHARTER,ORANGE,k12
ALONSO HIGH SCHOOL,HILLSBOROUGH,k12
ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL,MIAMI-DADE,k12
ALPHA AND OMEGA CHRISTIAN LEARNING CENTER,OKALOOSA,k12
ALPHA CHARTER OF EXCELLENCE,MIAMI-DADE,k12
ALPHA INTERNATIONAL ACADEMY,BROWARD,k12
ALPHA LEARNING ACADEMY,VOLUSIA,k12
ALPINE ACADEMY,SEMINOLE,k12
ALTA VISTA ELEMENTARY SCHOOL,SARASOTA,k12
ALTA VISTA ELEMENTARY SCHOOL,POLK,k12
ALTAMONTE CHRISTIAN SCHOOL,SEMINOLE,k12
ALTAMONTE ELEMENTARY SCHOOL,SEMINOLE,k12
ALTERNATIVE CENTER FOR EDUCATION,INDIAN RIVER,k12
ALTERNATIVE EDUCATION FOUNDATION- WESTHAM,BROWARD,k12
ALTERNATIVE OUTREACH PROGRAM,MIAMI-DADE,k12
ALTHA PUBLIC SCHOOL,CALHOUN,k12
ALTIERUS CAREER COLLEGE,HILLSBOROUGH,university
ALTOONA SCHOOL,LAKE,k12
ALTURAS ELEMENTARY SCHOOL,POLK,k12
ALVA ACADEMY FREE SCHOOL INC.,LEE,k12
