school,county,type
DAYTONA STATE COLLEGE- FLAGLER/PALM COAST CAMPUS,FLAGLER,university
DE LA FONTAINE TRILINGUAL MONTESSORI SCHOOL,PINELLAS,k12
DE LASALLE ACADEMY OF FORT MYERS,LEE,k12
DEAF ELEMENTARY SCHOOL,ST. JOHNS,k12
DEAF HIGH SCHOOL,ST. JOHNS,k12
DEAF MIDDLE SCHOOL,ST. JOHNS,k12
DEANE BOZEMAN SCHOOL,BAY,k12
DEBARY ELEMENTARY SCHOOL,VOLUSIA,k12
DEEP CREEK ELEMENTARY SCHOOL,CHARLOTTE,k12
DEER PARK ELEMENTARY SCHOOL,HILLSBOROUGH,k12
DEER PARK ELEMENTARY SCHOOL,PASCO,k12
DEER POINT ELEMENTARY SCHOOL,BAY,k12
DEERFIELD BEACH ELEMENTARY SCHOOL,BROWARD,k12
DEERFIELD BEACH HIGH SCHOOL,BROWARD,k12
DEERFIELD BEACH MIDDLE SCHOOL,BROWARD,k12
DEERFIELD PARK ELEMENTARY SCHOOL,BROWARD,k12
DEERLAKE MIDDLE SCHOOL,LEON,k12
DEERWOOD ELEMENTARY SCHOOL,ORANGE,k12
DEERWOOD ELEMENTARY SCHOOL,OSCEOLA,k12
DEL PRADO ELEMENTARY SCHOOL,PALM BEACH,k12
DELAND HIGH SCHOOL,VOLUSIA,k12
DELAND MIDDLE SCHOOL,VOLUSIA,k12
DELAURA MIDDLE SCHOOL,BREVARD,k12
DELIA SANCHEZ FULL SERVICE SCHOOL,HILLSBOROUGH,k12
DELMAR ARTS ACADEMY,BROWARD,k12
DELPHI ACADEMY OF FLORIDA,PINELLAS,k12
DELTONA ADVENTIST SCHOOL,VOLUSIA,k12
DELTONA CHRISTIAN SCHOOL,VOLUSIA,k12
DELTONA ELEMENTARY SCHOOL,HERNANDO,k12
DELTONA HIGH SCHOOL,VOLUSIA,k12
DELTONA LAKES ELEMENTARY SCHOOL,VOLUSIA,k12
DELTONA MIDDLE SCHOOL,VOLUSIA,k12
DENHAM OAKS ELEMENTARY SCHOOL,PASCO,k12
DENISON MIDDLE SCHOOL,POLK,k12
DENN JOHN MIDDLE SCHOOL,OSCEOLA,k12
DEPAUL SCHOOL FOR DYSLEXIA INC.,PINELLAS,k12
DESERET ACADEMY,PUTNAM,k12
DESIGN & ARCHITECTURE SENIOR HIGH,MIAMI-DADE,k12
DESOTO COUNTY HIGH SCHOOL,DESOTO,k12
DESOTO DISTRICT OFFICE,DESOTO,k12
DESOTO ELEMENTARY SCHOOL,HILLSBOROUGH,k12
DESOTO MIDDLE SCHOOL,DESOTO,k12
DESOTO SECONDARY SCHOOL,DESOTO,k12
DESOTO TRAIL ELEMENTARY SCHOOL,LEON,k12
DESTIN ELEMENTARY SCHOOL,OKALOOSA,k12
DESTIN MIDDLE SCHOOL,OKALOOSA,k12
DESTINED FOR GREATNESS CHRISTIAN ACADEMY,ST. LUCIE,k12
DESTINY ACHIEVEMENT CENTERS,PINELLAS,k12
DESTINY LEADERSHIP ACADEMY,MARION,k12
DEVEREUX HOSPITAL,BREVARD,k12
DEVON AIRE K-8 CENTER,MIAMI-DADE,k12
DIAMOND MINDS TRANSFORMATIONAL LEADERSHIP ACADEMY,MIAMI-DADE,k12
DIAMOND VIEW ELEMENTARY SCHOOL,PALM BEACH,k12
DICKENS SANOMI ACADEMY,BROWARD,k12
DICKENSON ELEMENTARY SCHOOL,HILLSBOROUGH,k12
DILLARD 6-12,BROWARD,k12
DILLARD ELEMENTARY SCHOOL,BROWARD,k12
DILLARD STREET ELEMENTARY SCHOOL,ORANGE,k12
DINSMORE ELEMENTARY SCHOOL,DUVAL,k12
DIPLOMAT ELEMENTARY SCHOOL,LEE,k12
DIPLOMAT MIDDLE SCHOOL,LEE,k12
DISCOVER MONTESSORI ACADEMY,MIAMI-DADE,k12
DISCOVERY ACADEMY OF LAKE ALFRED,POLK,k12
DISCOVERY ACADEMY OF SCIENCE,PINELLAS,k12
DISCOVERY DAY ACADEMY,LEE,k12
DISCOVERY DAYS INSTITUTE OF LEARNING,VOLUSIA,k12
DISCOVERY ELEMENTARY SCHOOL,VOLUSIA,k12
DISCOVERY ELEMENTARY SCHOOL,BROWARD,k12
DISCOVERY ELEMENTARY SCHOOL,BREVARD,k12
DISCOVERY HIGH SCHOOL,POLK,k12
DISCOVERY INTERMEDIATE SCHOOL,OSCEOLA,k12
DISCOVERY KEY ELEMENTARY SCHOOL,PALM BEACH,k12
DISCOVERY MIDDLE,ORANGE,k12
DISCOVERY OAKS ELEMENTARY SCHOOL,CLAY,k12
DISSTON ACADEMY,PINELLAS,k12
DISTRICT- TRANSPORTATION DEPT.,LEE,k12
DIVINE ACADEMY LLC,BROWARD,k12
DIVINE MERCY CATHOLIC ACADEMY,BREVARD,k12
DIVINE SAVIOR ACADEMY - DELRAY,PALM BEACH,k12
DIVINE SAVIOR LUTHERAN ACADEMY,MIAMI-DADE,k12
DIVINE SAVIOR SCHOOL,MIAMI-DADE,k12
DIXIE COUNTY ADULT CENTER,DIXIE,k12
DIXIE COUNTY HIGH SCHOOL,DIXIE,k12
DIXIE COUNTY LEARNING ACADEMY,DIXIE,k12
DIXIE DISTRICT OFFICE,DIXIE,k12
DIXIE HOLLINS ADULT EDUCATION CENTER,PINELLAS,k12
DIXIE M. HOLLINS HIGH SCHOOL,PINELLAS,k12
DIXIELAND ELEMENTARY SCHOOL,POLK,k12
DIXON SCHOOL OF ARTS AND SCIENCES,ESCAMBIA,k12
DME SPORTS ACADEMY,VOLUSIA,k12
DOBY ELEMENTARY SCHOOL,HILLSBOROUGH,k12
DOCTORS CHARTER SCHOOL OF MIAMI SHORES,MIAMI-DADE,k12
DOCTORS INLET ELEMENTARY SCHOOL,CLAY,k12
DODGERTOWN ELEMENTARY SCHOOL,INDIAN RIVER,k12
DOLPHIN BAY ELEMENTARY SCHOOL,BROWARD,k12
DOMMERICH ELEMENTARY SCHOOL,ORANGE,k12
DON BREWER ELEMENTARY SCHOOL,DUVAL,k12
DON E WOODS OPPORTUNITY CENTER,POLK,k12
DON ESTRIDGE HIGH TECH MIDDLE SCHOOL,PALM BEACH,k12
DON SOFFER AVENTURA HIGH SCHOOL,MIAMI-DADE,k12
DONNA J. BEASLEY TECHNICAL ACADEMY,LEE,k12
DONNA KLEIN JEWISH ACADEMY,PALM BEACH,k12
DORAL ACADEMY,MIAMI-DADE,k12
DORAL ACADEMY CHARTER HIGH SCHOOL,MIAMI-DADE,k12
DORAL ACADEMY CHARTER MIDDLE SCHOOL,MIAMI-DADE,k12
DORAL ACADEMY OF TECHNOLOGY,MIAMI-DADE,k12
DORAL INTERNATIONAL ACADEMY OF MATH AND SCIENCE,MIAMI-DADE,k12
DORAL PERFORMING ARTS & ENTERTAINMENT ACADEMY,MIAMI-DADE,k12
DORIS A. SANDERS LEARNING CENTER,POLK,k12
DOROTHY M. WALLACE COPE CENTER,MIAMI-DADE,k12
DOROTHY THOMAS CENTER,HILLSBOROUGH,k12
DOUBLE BRANCH ELEMENTARY SCHOOL,PASCO,k12
DOUBLE R PRIVATE SCHOOL INC.,SEMINOLE,k12
DOUGLAS ANDERSON SCHOOL OF THE ARTS,DUVAL,k12
DOUGLAS L. JAMERSON JR. ELEMENTARY SCHOOL,PINELLAS,k12
DOVER ELEMENTARY SCHOOL,HILLSBOROUGH,k12
DOVER SHORES ELEMENTARY SCHOOL,ORANGE,k12
DOWDELL MIDDLE MAGNET SCHOOL,HILLSBOROUGH,k12
DOWNEY CHRISTIAN SCHOOL,ORANGE,k12
DOWNTOWN DORAL CHARTER ELEMENTARY SCHOOL,MIAMI-DADE,k12
DOWNTOWN DORAL CHARTER UPPER SCHOOL,MIAMI-DADE,k12
DOWNTOWN MIAMI CHARTER SCHOOL,MIAMI-DADE,k12
DR. CARLOS J. FINLAY ELEMENTARY SCHOOL,MIAMI-DADE,k12
DR. CARRIE D ROBINSON LITTLETON ELEMENTARY SCHOOL,LEE,k12
DR. CARTER G WOODSON K-8 SCHOOL,HILLSBOROUGH,k12
DR. D. D. BROWN ACADEMY OF HOPE,MARION,k12
DR. DAVID L. ANDERSON MIDDLE SCHOOL,MARTIN,k12
DR. EDWARD L. WHIGHAM ELEMENTARY SCHOOL,MIAMI-DADE,k12
DR. FREDERICA S. WILSON/SKYWAY ELEMENTARY SCHOOL,MIAMI-DADE,k12
DR. GILBERT L. PORTER ELEMENTARY SCHOOL,MIAMI-DADE,k12
DR. HENRY E. PERRINE ACADEMY OF THE ARTS,MIAMI-DADE,k12
DR. HENRY W. MACK/WEST LITTLE RIVER K-8 CENTER,MIAMI-DADE,k12
DR. JOHN LONG MIDDLE SCHOOL,PASCO,k12
DR. KIRAN C PATEL HIGH SCHOOL,HILLSBOROUGH,k12
DR. MANUEL C. BARREIRO ELEMENTARY SCHOOL,MIAMI-DADE,k12
DR. MARTIN LUTHER KING JR. MONTESSORI ACADEMY,BROWARD,k12
DR. MARY GIELLA ELEMENTARY SCHOOL,PASCO,k12
DR. MARY MCLEOD BETHUNE ELEMENTARY SCHOOL,PALM BEACH,k12
DR. MICHAEL M. KROP SENIOR HIGH,MIAMI-DADE,k12
DR. MONA JAIN MIDDLE SCHOOL,MANATEE,k12
DR. NE ROBERTS ELEMENTARY SCHOOL,POLK,k12
DR. NH JONES ELEMENTARY SCHOOL,MARION,k12
DR. PHILLIPS ELEMENTARY SCHOOL,ORANGE,k12
DR. PHILLIPS HIGH SCHOOL,ORANGE,k12
DR. ROBERT B. INGRAM ELEMENTARY SCHOOL,MIAMI-DADE,k12
DR. ROLANDO ESPINOSA K-8 CENTER,MIAMI-DADE,k12
DR. TONI BILBAO PREPARATORY ACADEMY,MIAMI-DADE,k12
DR. W.J. CREEL ELEMENTARY SCHOOL,BREVARD,k12
DR. WILLIAM A. CHAPMAN ELEMENTARY SCHOOL,MIAMI-DADE,k12
DREAM LAKE ELEMENTARY SCHOOL,ORANGE,k12
DREAMING BIG LEARNING CENTER,OSCEOLA,k12
DRIFTWOOD ELEMENTARY SCHOOL,BROWARD,k12
DRIFTWOOD MIDDLE SCHOOL,BROWARD,k12
DUNBAR COMMUNITY SCHOOL,LEE,k12
DUNBAR ELEMENTARY SCHOOL MAGNET SCHOOL,HILLSBOROUGH,k12
DUNBAR HIGH SCHOOL,LEE,k12
DUNCAN U. FLETCHER HIGH SCHOOL,DUVAL,k12
DUNCAN U. FLETCHER MIDDLE SCHOOL,DUVAL,k12
DUNDEE ELEMENTARY SCHOOL ACADEMY,POLK,k12
DUNDEE RIDGE MIDDLE ACADEMY,POLK,k12
DUNE LAKES ELEMENTARY SCHOOL,WALTON,k12
DUNEDIN ELEMENTARY SCHOOL,PINELLAS,k12
DUNEDIN HIGH SCHOOL,PINELLAS,k12
DUNEDIN HIGHLAND MIDDLE SCHOOL,PINELLAS,k12
DUNNELLON CHRISTIAN ACADEMY,MARION,k12
DUNNELLON ELEMENTARY SCHOOL,MARION,k12
DUNNELLON HIGH SCHOOL,MARION,k12
DUNNELLON MIDDLE SCHOOL,MARION,k12
DURANT HIGH SCHOOL,HILLSBOROUGH,k12
DURBIN CREEK ELEMENTARY SCHOOL,ST. JOHNS,k12
DUVAL CHARTER HIGH SCHOOL AT BAYMEADOWS,DUVAL,k12
DUVAL CHARTER SCHOLARS ACADEMY,DUVAL,k12
DUVAL CHARTER SCHOOL AT COASTAL,DUVAL,k12
DUVAL CHARTER SCHOOL AT FLAGLER CENTER,DUVAL,k12
DUVAL CHARTER SCHOOL AT MANDARIN,DUVAL,k12
DUVAL CHARTER SCHOOL AT SOUTHSIDE,DUVAL,k12
DUVAL CHARTER SCHOOL AT WESTSIDE,DUVAL,k12
DUVAL COUNTY SCHOOL BOARD,DUVAL,k12
DUVAL DISTRICT OFFICE,DUVAL,k12
DWIGHT D. EISENHOWER ELEMENTARY SCHOOL,PALM BEACH,k12
E.W.F. STIRRUP ELEMENTARY SCHOOL,MIAMI-DADE,k12
EAGLE CREEK ELEMENTARY SCHOOL,ORANGE,k12
EAGLE LAKE ELEMENTARY SCHOOL,POLK,k12
EAGLE NEST CHRISTIAN ACADEMY,BAY,k12
EAGLE POINT ELEMENTARY SCHOOL,BROWARD,k12
EAGLE RIDGE ELEMENTARY SCHOOL,BROWARD,k12
EAGLE'S VIEW ACADEMY,DUVAL,k12
EAGLES LANDING MIDDLE SCHOOL,PALM BEACH,k12
EAGLES NEST CHARTER ACADEMY,BROWARD,k12
EAGLES NEST ELEMENTARY SCHOOL,ORANGE,k12
EAGLES NEST MIDDLE CHARTER SCHOOL,BROWARD,k12
EARLINGTON HEIGHTS ELEMENTARY SCHOOL,MIAMI-DADE,k12
EARLY CHILDHOOD CENTER,MIAMI-DADE,k12
EARLY CHILDHOOD LEARNING SERVICES,LEE,k12
EARLY LEARNING ACADEMY AT DUVAL,ALACHUA,k12
EARLY STEP LEARNING CENTER,MIAMI-DADE,k12
EARLY YEARS ACADEMY,MIAMI-DADE,k12
EAST AREA ADULT SCHOOL,POLK,k12
EAST ATLANTIC PREP OF BREVARD COUNTY,BREVARD,k12
EAST BAY CHRISTIAN SCHOOL,HILLSBOROUGH,k12
EAST BAY HIGH SCHOOL,HILLSBOROUGH,k12
EAST COAST MIGRANT HEADSTART PROJECT - LA FAMILIA CENTER,POLK,k12
EAST ELEMENTARY SCHOOL,CHARLOTTE,k12
EAST HILL ACADEMY AT AVALON,SANTA ROSA,k12
EAST HILL ACADEMY INC.,ESCAMBIA,k12
EAST HILL CHRISTIAN SCHOOL,ESCAMBIA,k12
EAST LAKE ELEMENTARY SCHOOL,ORANGE,k12
EAST LAKE ELEMENTARY SCHOOL,OSCEOLA,k12
EAST LAKE HIGH SCHOOL,PINELLAS,k12
EAST LAKE MIDDLE SCHOOL ACADEMY OF ENGINEERING,PINELLAS,k12
EAST LEE COUNTY HIGH SCHOOL,LEE,k12
EAST MARION ELEMENTARY SCHOOL,MARION,k12
EAST MILTON ELEMENTARY SCHOOL,SANTA ROSA,k12
EAST NAPLES MIDDLE SCHOOL,COLLIER,k12
EAST PASCO ADVENTIST ACADEMY,PASCO,k12
EAST RIDGE HIGH SCHOOL,LAKE,k12
EAST RIDGE MIDDLE SCHOOL,LAKE,k12
EAST RIVER HIGH,ORANGE,k12
EAST TAMPA ACADEMY,HILLSBOROUGH,k12
EASTBROOK ELEMENTARY SCHOOL,SEMINOLE,k12
EASTER SEALS,MANATEE,k12
EASTER SEALS ACADEMY,MIAMI-DADE,k12
"EASTER SEALS CHILD DEVELOPMENT CENTER, DAYTONA BEACH",VOLUSIA,k12
EASTER SEALS SWFL SECONDARY ACADEMY,MANATEE,k12
EASTERN FLORIDA STATE COLLEGE- COCOA CAMPUS,BREVARD,university
EASTERN FLORIDA STATE COLLEGE- MELBOURNE CAMPUS,BREVARD,university
EASTERN FLORIDA STATE COLLEGE- PALM BAY CAMPUS,BREVARD,university
EASTERN FLORIDA STATE COLLEGE- TITUSVILLE CAMPUS,BREVARD,university
EASTLAND CHRISTIAN SCHOOL,ORANGE,k12
EASTSIDE ELEMENTARY SCHOOL,HERNANDO,k12
EASTSIDE ELEMENTARY SCHOOL,POLK,k12
EASTSIDE ELEMENTARY SCHOOL,HENDRY,k12
EASTSIDE ELEMENTARY SCHOOL,COLUMBIA,k12
EASTSIDE HIGH SCHOOL,ALACHUA,k12
EAU GALLIE HIGH SCHOOL,BREVARD,k12
EBENEZER CHRISTIAN ACADEMY,MIAMI-DADE,k12
ECCLESTON ELEMENTARY SCHOOL,ORANGE,k12
ECKERD COLLEGE,PINELLAS,university
ECOKIDS BILINGUAL PRESCHOOLS,BROWARD,k12
ECON RIVER HIGH CHARTER,ORANGE,k12
ED VENTURE CHARTER SCHOOL,PALM BEACH,k12
EDC ACADEMY OF EXCELLENCE,MIAMI-DADE,k12
EDEN PARK ELEMENTARY SCHOOL,COLLIER,k12
EDGAR L. PADGETT ELEMENTARY SCHOOL,POLK,k12
EDGEWATER HIGH,ORANGE,k12
EDGEWATER PUBLIC SCHOOL,VOLUSIA,k12
EDGEWOOD ACADEMY,LEE,k12
EDGEWOOD CHILDREN'S RANCH,ORANGE,k12
EDGEWOOD JR/SR HIGH SCHOOL,BREVARD,k12
EDISON ELEMENTARY SCHOOL,HILLSBOROUGH,k12
EDISON PARK CREATIVE AND EXPRESSIVE ARTS SCHOOL,LEE,k12
EDISON PARK K-8 CENTER,MIAMI-DADE,k12
EDISON PRIVATE SCHOOL,MIAMI-DADE,k12
EDITH I. STARKE ELEMENTARY SCHOOL,VOLUSIA,k12
EDUCATION PLACE,PALM BEACH,k12
EDUCATION STATION PRESCHOOL,BROWARD,k12
EDUCATIONAL HARBOR,MANATEE,k12
EDUCATIONAL HORIZONS CHARTER,BREVARD,k12
EDUCATIONAL PATHWAYS ACADEMY,COLLIER,k12
EDUCATIONAL WORLD LEARNING CENTER,MIAMI-DADE,k12
EDVENTURE CHARTER SCHOOL,PALM BEACH,k12
EDWARD A. UPTHEGROVE ELEMENTARY SCHOOL,HENDRY,k12
EDWARD H. WHITE HIGH SCHOOL,DUVAL,k12
EDWARD W BOK ACADEMY NORTH,POLK,k12
EDWARD WATERS COLLEGE,DUVAL,university
EGLIN ELEMENTARY SCHOOL,OKALOOSA,k12
EGRET LAKE ELEMENTARY SCHOOL,PALM BEACH,k12
EGYPT LAKE ELEMENTARY SCHOOL,HILLSBOROUGH,k12
EIGHTH STREET ELEMENTARY SCHOOL,MARION,k12
EINSTEIN MONTESSORI ACADEMY,BREVARD,k12
EINSTEINS LEARNING CENTER 1 INC,MIAMI-DADE,k12
EISENHOWER ELEMENTARY SCHOOL,PINELLAS,k12
EISENHOWER MIDDLE SCHOOL,HILLSBOROUGH,k12
EL SINAI CHRISTIAN ACADEMY,BREVARD,k12
ELBERT ELEMENTARY SCHOOL,POLK,k12
ELBRIDGE GALE ELEMENTARY SCHOOL,PALM BEACH,k12
ELEANOR H. MILLER SCHOOL,PUTNAM,k12
ELECTA LEE MAGNET MIDDLE SCHOOL,MANATEE,k12
ELEVATION PREPARATORY ACADEMY,SARASOTA,k12
ELFERS CHRISTIAN SCHOOL,PASCO,k12
ELISA NELSON ELEMENTARY SCHOOL,PINELLAS,k12
ELITE ACADEMY SCHOOL OF EXCELLENCE,BROWARD,k12
ELITE PREPARATORY ACADEMY,ORANGE,k12
ELIZABETH COBB MIDDLE SCHOOL,LEON,k12
ELLIOTT POINT ELEMENTARY SCHOOL,OKALOOSA,k12
EMBASSY CREEK ELEMENTARY SCHOOL,BROWARD,k12
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY - DAYTONA BEACH,VOLUSIA,university
EMERALD COAST MIDDLE SCHOOL,WALTON,k12
EMERALD COVE MIDDLE SCHOOL,PALM BEACH,k12
EMERALD SHORES ELEMENTARY SCHOOL,MARION,k12
EMERGENCY EDUCATION INSTITUTE-EEI,BROWARD,university
EMERSON ELEMENTARY SCHOOL,MIAMI-DADE,k12
EMMA E. BOOKER ELEMENTARY SCHOOL,SARASOTA,k12
EMMA JEWEL CHARTER ACADEMY,BREVARD,k12
EMMA LOVE HARDEE ELEMENTARY SCHOOL,NASSAU,k12
EMMANUEL COASTAL ACADEMY,DUVAL,k12
EMPOWERING YOUTH INC.,MIAMI-DADE,k12
ENDEAVOR ELEMENTARY SCHOOL,ORANGE,k12
ENDEAVOR SCHOOL,SEMINOLE,k12
ENDEAVOUR ELEMENTARY SCHOOL,BREVARD,k12
ENDEAVOUR PRIMARY LEARNING CENTER,BROWARD,k12
ENDTIME CHRISTIAN SCHOOL OF EXCELLENCE,POLK,k12
ENEIDA M. HARTNER ELEMENTARY SCHOOL,MIAMI-DADE,k12
ENFAMILIA INC.,MIAMI-DADE,k12
ENGELWOOD ELEMENTARY SCHOOL,ORANGE,k12
ENGLEWOOD CHRISTIAN SCHOOL,SARASOTA,k12
ENGLEWOOD ELEMENTARY SCHOOL,DUVAL,k12
ENGLEWOOD ELEMENTARY SCHOOL,SARASOTA,k12
ENGLEWOOD HIGH SCHOOL,DUVAL,k12
ENGLISH ESTATES ELEMENTARY SCHOOL,SEMINOLE,k12
ENSLEY ELEMENTARY SCHOOL,ESCAMBIA,k12
ENTERPRISE CHARTER HIGH SCHOOL,PINELLAS,k12
ENTERPRISE ELEMENTARY SCHOOL,VOLUSIA,k12
ENTERPRISE ELEMENTARY SCHOOL,BREVARD,k12
ENTERPRISE LEARNING ACADEMY,DUVAL,k12
ENTIRETY K-12,HERNANDO,k12
EPIPHANY CATHEDRAL SCHOOL,SARASOTA,k12
EPIPHANY CATHOLIC SCHOOL,COLUMBIA,k12
EPIPHANY SCHOOL,MIAMI-DADE,k12
EPISCOPAL CHILDREN'S SERVICES,MARION,k12
EPISCOPAL DAY SCHOOL CHRIST CHURCH,ESCAMBIA,k12
EPISCOPAL SCHOOL OF JACKSONVILLE,DUVAL,k12
EQUESTRIAN TRAILS ELEMENTARY SCHOOL,PALM BEACH,k12
ERNEST R. GRAHAM K-8 ACADEMY,MIAMI-DADE,k12
ERNEST WARD MIDDLE SCHOOL,ESCAMBIA,k12
ERWIN TECHNICAL COLLEGE,HILLSBOROUGH,university
ES INTERNATIONAL SCHOOL,COLLIER,k12
ESCAMBIA CHRISTIAN SCHOOL,ESCAMBIA,k12
ESCAMBIA COUNTY SCHOOL DISTRICT,ESCAMBIA,k12
ESCAMBIA DISTRICT OFFICE,ESCAMBIA,k12
ESCAMBIA HIGH SCHOOL,ESCAMBIA,k12
ESCAMBIA WESTGATE CENTER,ESCAMBIA,k12
ESE TRANSITION,ORANGE,k12
ESPIRITU SANTO CATHOLIC SCHOOL,PINELLAS,k12
ESPRIT DE CORPS CENTER FOR LEARNING,DUVAL,k12
ESSRIG ELEMENTARY SCHOOL,HILLSBOROUGH,k12
ESTATES ELEMENTARY SCHOOL,COLLIER,k12
ESTEEM ACADEMY,ORANGE,k12
ESTERO HIGH SCHOOL,LEE,k12
ESTHER'S SCHOOL BELL,GILCHRIST,k12
ESTHER'S SCHOOL INC - HAINES CITY,POLK,k12
ESTHER'S SCHOOL INC - HUDSON,PASCO,k12
ESTHER'S SCHOOL INC - KISSIMMEE,OSCEOLA,k12
ESTHER'S SCHOOL INC - MADISON,PASCO,k12
ESTHER'S SCHOOL INC - PINELLAS,PINELLAS,k12
ESTHER'S SCHOOL INC - SPRING HILL,HERNANDO,k12
ESTHER'S SCHOOL SARASOTA,SARASOTA,k12
ETHEL F. BECKFORD/RICHMOND PRIMARY LEARNING CENTER,MIAMI-DADE,k12
ETHEL KOGER BECKHAM K-8 CENTER,MIAMI-DADE,k12
EUGENIA B. THOMAS K-8 CENTER,MIAMI-DADE,k12
EUSTIS ELEMENTARY SCHOOL,LAKE,k12
EUSTIS HEIGHTS ELEMENTARY SCHOOL,LAKE,k12
EUSTIS HIGH SCHOOL,LAKE,k12
EUSTIS MIDDLE SCHOOL,LAKE,k12
EVANGELICAL CHRISTIAN,LEE,k12
EVANS ELEMENTARY SCHOOL,SEMINOLE,k12
EVERGLADES CITY SCHOOL,COLLIER,k12
EVERGLADES ELEMENTARY SCHOOL,PALM BEACH,k12
EVERGLADES ELEMENTARY SCHOOL,BROWARD,k12
EVERGLADES ELEMENTARY SCHOOL,OKEECHOBEE,k12
EVERGLADES HIGH SCHOOL,BROWARD,k12
EVERGLADES K-8 CENTER,MIAMI-DADE,k12
EVERGLADES PREPARATORY ACADEMY,PALM BEACH,k12
EVERGLADES PREPARATORY ACADEMY HIGH SCHOOL,MIAMI-DADE,k12
EVERGLADES UNIVERSITY,PALM BEACH,university
EVERGLADES UNIVERSITY - MIAMI,MIAMI-DADE,university
EVERGLADES UNIVERSITY - ORLANDO,ORANGE,university
EVERGLADES UNIVERSITY - TAMPA,HILLSBOROUGH,university
EVERGREEN ELEMENTARY SCHOOL,MARION,k12
EXCEL CHRISTIAN ACADEMY,POLK,k12
EXCEL LEARNING ACADEMY,POLK,k12
EXCELLENCE LEARNING ACADEMY PREP SCHOOL,MADISON,k12
EXCELLERATED TEACHING ACADEMY,PINELLAS,k12
EXCELSIOR CHARTER ACADEMY,MIAMI-DADE,k12
EXCELSIOR CHARTER OF BROWARD,BROWARD,k12
EXCELSIOR INTERNATIONAL ACADEMY,BROWARD,k12
EXCELSIOR LANGUAGE ACADEMY OF HIALEAH,MIAMI-DADE,k12
EXCELSIOR PREP CHARTER SCHOOL,HILLSBOROUGH,k12
EXCEPTIONAL ACADEMY FOR DIFFERENTLY-ABLED LEARNERS,ST. LUCIE,k12
EXPLORER K-8,HERNANDO,k12
EXPRESSIONS LEARNING ARTS ACADEMY,ALACHUA,k12
F. W. BUCHHOLZ HIGH SCHOOL,ALACHUA,k12
F.I.R.S.T INSTITUTE,ORANGE,university
FAIRGLEN ELEMENTARY SCHOOL,BREVARD,k12
FAIRLAWN ELEMENTARY SCHOOL,MIAMI-DADE,k12
FAIRLAWN ELEMENTARY SCHOOL,ST. LUCIE,k12
FAIRMOUNT PARK ELEMENTARY SCHOOL,PINELLAS,k12
FAIRVIEW MIDDLE SCHOOL,LEON,k12
FAIRWAY ELEMENTARY SCHOOL,BROWARD,k12
FAITH ACADEMY,DUVAL,k12
FAITH ACADEMY,ORANGE,k12
FAITH BAPTIST ACADEMY,PASCO,k12
FAITH CHRISTIAN ACADEMY,HERNANDO,k12
FAITH CHRISTIAN ACADEMY,HILLSBOROUGH,k12
FAITH CHRISTIAN ACADEMY,ORANGE,k12
FAITH CHRISTIAN ACADEMY INC,CLAY,k12
FAITH CHRISTIAN ACADEMY OF NE FL INC,NASSAU,k12
FAITH CHRISTIAN SCHOOL,GULF,k12
FAITH COMMUNITY CHRISTIAN ACADEMY,DESOTO,k12
FAITH FELLOWSHIP SCHOOL,MIAMI-DADE,k12
FAITH GENERATION ACADEMY,ORANGE,k12
FAITH LUTHERAN SCHOOL,LAKE,k12
FAITH OUTREACH ACADEMY,HILLSBOROUGH,k12
FAITH PRESBYTERIAN CHURCH PRESCHOOL,LEON,k12
FAITH UNITED SCHOOL OF EXCELLENCE,ST. LUCIE,k12
FALCON COVE MIDDLE SCHOOL,BROWARD,k12
FAMILY CHRISTIAN ACADEMY ORLANDO,ORANGE,k12
FAMILY CHRISTIAN CENTER SCHOOL - CLERMONT,LAKE,k12
"FAMILY CHRISTIAN SCHOOL, INC.",ORANGE,k12
FAMILY LIFE ACADEMY,ALACHUA,k12
FAMILY LIFE COMMUNITY SCHOOL INC.,MANATEE,k12
FAMILY OF CHRIST LUTHERAN SCHOOL,HILLSBOROUGH,k12
FANTASTIC LAND LEARNING CENTER,MIAMI-DADE,k12
FARNELL MIDDLE SCHOOL,HILLSBOROUGH,k12
FATHER LOPEZ HIGH SCHOOL,VOLUSIA,k12
FAU/SLCSD PALM POINTE EDUCATIONAL RESEARCH SCHOOL @ TRADITION,ST. LUCIE,k12
FELIX A WILLIAMS ELEMENTARY SCHOOL,MARTIN,k12
FELIX VARELA SENIOR HIGH SCHOOL,MIAMI-DADE,k12
FELLSMERE ELEMENTARY SCHOOL,INDIAN RIVER,k12
FERNANDINA BEACH CHRISTIAN ACADEMY,NASSAU,k12
FERNANDINA BEACH HIGH SCHOOL,NASSAU,k12
FERNANDINA BEACH MIDDLE SCHOOL,NASSAU,k12
FERRELL MIDDLE MAGNET SCHOOL,HILLSBOROUGH,k12
FERRY PASS ELEMENTARY SCHOOL,ESCAMBIA,k12
FERRY PASS MIDDLE SCHOOL,ESCAMBIA,k12
FESSENDEN ELEMENTARY SCHOOL,MARION,k12
FIELDS OF DREAMS SPORTS ACADEMY,PASCO,k12
FIENBERG FISHER K-8 CENTER,MIAMI-DADE,k12
FIRST ACADEMY,COLUMBIA,k12
FIRST ACADEMY-LEESBURG,LAKE,k12
