FID,SchoolSystem,AltName,InstructionalDelivery,Address,Submission_Date,WeekOf,TotalPositive_lbl,TotalPositive_ALL,Subregion
18208,Madison County,Madison County School District,In-person and virtual,"1275F Jordan Rd Bldg B Huntsville, AL, 35811 - 0000",2021-02-23,9,        22,848.0,Madison County
18210,Marengo County,Marengo County School District,In-person and virtual,"101 North Shiloh Linden, AL, 36748 - 0000",2021-02-23,9,Less than 5,848.0,Marengo County
18209,Marion County,Marion County School District,"In-person, virtual and blended","188 Winchester Dr Hamilton, AL, 35570 - 6626",2021-02-23,9,Less than 5,848.0,Marion County
18232,Marshall County,Marshall County School District,In-person and virtual,"12380 US Highway 431 S Guntersville, AL, 35976 - 9351",2021-02-24,9,Less than 5,848.0,Marshall County
18213,Midfield City,Midfield City School District,TBA,"417 Parkwood St Midfield, AL, 35228 - 2230",2021-02-24,9,Less than 5,848.0,Jefferson County
18212,Mobile County,Mobile County School District,In-person and virtual,"1 Magnum Pass Mobile, AL, 36618 - 0069",2021-02-23,9,        49,848.0,Mobile County
18214,Monroe County,Monroe County School District,In-person and virtual,"109 Pickens St. Monroeville, al, 36460 - 0000",2021-02-23,9,0,848.0,Monroe County
18215,Montgomery County,Montgomery County School District,In-person and virtual,"307 S Decatur St Montgomery, AL, 36104 - 4310",2021-02-23,9,Less than 5,848.0,Montgomery County
18222,Morgan County,Morgan County School District,"In-person, virtual and blended","235 Highway 67 South Decatur, AL, 35603 - 6542",2021-02-24,9,Less than 5,848.0,Morgan County
18217,Mountain Brook City,Mountain Brook City School District,"In-person, virtual and blended","32 Vine Street Mountain Brook, AL, 35213 - 0000",2021-02-24,9,         8,848.0,Jefferson County
18218,Muscle Shoals City,Muscle Shoals City School District,"In-person, virtual and blended","3200 S Wilson Dam Rd Muscle Shoals, AL, 35661 - 0000",2021-02-24,9,0,848.0,Colbert County
18230,Oneonta City,Oneonta City School District,In-person and virtual,"27605 State Highway 75 Oneonta, AL, 35121 - 3228",2021-02-23,9,Less than 5,848.0,Blount County
18219,Opelika City,Opelika City School District,In-person and virtual,"300 Simmons Street Opelika, AL, 36801 - 2469",2021-02-23,9,         5,848.0,Lee County
18220,Opp City,Opp City School District,In-person and virtual,"305 E Stewart Ave Opp, AL, 36467 - 0000",2021-02-24,9,0,848.0,Covington County
18221,Oxford City,Oxford City School District,"In-person, virtual and blended","402 Main Street Oxford, AL, 36203 - 1237",2021-02-23,9,         9,848.0,Calhoun County
18224,Ozark City,Ozark City School District,In-person and virtual,"860 N US HWY 231 Ozark, AL, 36360 - 3001",2021-02-24,9,         7,848.0,Dale County
18223,Pelham City,Pelham City School District,"In-person, virtual and blended","3113 Cummings Street Pelham, AL, 35124 - 0000",2021-02-23,9,Less than 5,848.0,Shelby County
18225,Pell City,Pell City City School District,"In-person, virtual and blended","3105 15th Avenue N.  Pell City, AL, 35125 - 3215",2021-02-23,9,        14,848.0,St. Clair County
18226,Perry County,Perry County School District,Virtual and blended,"200 Monroe St Marion, AL, 36756 - 0000",2021-02-23,9,Less than 5,848.0,Perry County
18227,Phenix City,Phenix City City School District,"In-person, virtual and blended","1212 Ninth Ave Phenix City, AL, 36867 - 0000",2021-02-23,9,         7,848.0,Russell County
18228,Pickens County,Pickens County School District,"In-person, virtual and blended",377 LaDow Center Circle Carrollton Al 35447,2021-02-23,9,Less than 5,848.0,Pickens County
18229,Piedmont City,Piedmont City School District,"In-person, virtual and blended","502 Hood St W Piedmont, AL, 36272 - 0000",2021-02-24,9,Less than 5,848.0,Calhoun County
18262,Pike County,Pike County School District,"In-person, virtual and blended","101 West Love Street Troy, AL 36081",2021-02-23,9,         7,848.0,Pike County
18237,Pike Road City,Pike Road City School District,"In-person, virtual and blended","696 Georgia Washington Road Pike Road, AL, 36064 - 0000",2021-02-23,9,Less than 5,848.0,Montgomery County
18231,Randolph County,Randolph County School District,"In-person, virtual and blended","182 Circle Drive Wedowee, AL, 36278 - 0000",2021-02-23,9,Less than 5,848.0,Randolph County
18263,Roanoke City,Roanoke City School District,In-person and virtual,"557 Main St, Roanoke, AL 36274",2021-02-23,9,Less than 5,848.0,Randolph County
18234,Russell County,Russell County School District,In-person and virtual,"506 14th St Phenix City, AL, 36867 - 0000",2021-02-24,9,Unreported,,Russell County
18128,Russellville City,Russellville City School District,In-person and virtual,"1945 Waterloo Rd Russellville, AL, 35653 - 0000",2021-02-23,9,Less than 5,848.0,Franklin County
18233,Saraland City,Saraland City School District,In-person and virtual,"4010 Lil' Spartan Drive Saraland, AL, 36571 - 0000",2021-02-24,9,Less than 5,848.0,Mobile County
18236,Satsuma City,Satsuma City School District,In-person and virtual,"220 Baker Road Satsuma, AL, 36572 - 2402",2021-02-24,9,Less than 5,848.0,Mobile County
18235,Scottsboro City,Scottsboro City School District,In-person and virtual,"305 S Scott Street Scottsboro, AL, 35768 - 2642",2021-02-23,9,Less than 5,848.0,Jackson County
18129,Selma City,Selma City School District,Virtual,"2194 Broad Street Selma, AL 36701",2021-02-23,9,0,848.0,Dallas County
18240,Sheffield City,Sheffield City School District,In-person and virtual,"300 W 6th St Sheffield, AL, 35660 - 2802",2021-02-23,9,0,848.0,Colbert County
18239,Shelby County,Shelby County School District,"In-person, virtual and blended","410 E College St Columbiana, AL, 35051 - 0410",2021-02-23,9,        42,848.0,Shelby County
18238,St Clair County,St. Clair County School District,"In-person, virtual and blended","410 Roy Drive Ashville, AL, 35953 - 6254",2021-02-23,9,        32,848.0,St. Clair County
18249,Sumter County,Sumter County School District,Virtual,"Hwy 28 To Country Club Dr Livingston, AL, 35470 - 0000",2021-02-23,9,0,848.0,Sumter County
18241,Sylacauga City,Sylacauga City School District,"In-person, virtual and blended","43 N. Broadway Avenue Sylacauga, AL, 35150 - 1941",2021-02-23,9,Less than 5,848.0,Talladega County
18242,Talladega City,Talladega City School District,In-person and virtual,"501 South Street East Talladega, AL, 35160 - 2532",2021-02-23,9,Less than 5,848.0,Talladega County
18244,Talladega County,Talladega County School District,"In-person, virtual and blended","106 W South St Talladega, AL, 35160 - 0000",2021-02-23,9,        14,848.0,Talladega County
18243,Tallapoosa County,Tallapoosa County School District,"In-person, virtual and blended","679 East Columbus Street Dadeville, AL, 36853 - 1371",2021-02-23,9,        12,848.0,Tallapoosa County
18245,Tallassee City,Tallassee City School District,"In-person, virtual and blended","308 King St Tallassee, AL, 36078 - 1316",2021-02-23,9,         5,848.0,Elmore County
18265,Tarrant City,Tarrant City School District,In-person and virtual,"1318 Alabama Street Tarrant, AL 35217",2021-02-23,9,Less than 5,848.0,Jefferson County
