school,county,school_new,county_new
ADVENT LUTHERAN SCHOOL,PALM BEACH,ADVENT LUTHERAN SCHOOL,PALM BEACH
ADVENTHEALTH UNIVERSITY,ORANGE,ADVENTHEALTH UNIVERSITY,ORANGE
ADVENTURE CHRISTIAN ACADEMY,LAKE,ADVENTURE CHRISTIAN ACADEMY,LAKE
AGAPE CHRISTIAN SCHOOL OF SARASOTA INC.,SARASOTA,AGAPE CHRISTIAN SCHOOL OF SARASOTA INC.,SARASOTA
AGENORIA S PASCHAL/OLINDA ELEMENTARY SCHOOL,MIAMI-DADE,AGENORIA S PASCHAL/OLINDA ELEMENTARY SCHOOL,MIAMI-DADE
AIM AVIATION INSTITUTE AND MAINTENANCE,UNKNOWN,,
AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION,MIAMI-DADE,AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION,MIAMI-DADE
AIRALA EYE INSTITUTE,UNKNOWN,AIRALA EYE INSTITUTE,MIAMI-DADE
AL-FURQAN ACADEMY,DUVAL,AL-FURQAN ACADEMY,DUVAL
ALACHUA ACADEMY,ALACHUA,ALACHUA ACADEMY,ALACHUA
ALACHUA COUNTY PUBLIC SCHOOLS,ALACHUA,ALACHUA COUNTY PUBLIC SCHOOLS,ALACHUA
ALACHUA DISTRICT OFFICE,ALACHUA,ALACHUA DISTRICT OFFICE,ALACHUA
ALACHUA ELEMENTARY SCHOOL,ALACHUA,ALACHUA ELEMENTARY SCHOOL,ALACHUA
ALACHUA LEARNING ACADEMY ELEMENTARY,ALACHUA,ALACHUA LEARNING ACADEMY ELEMENTARY SCHOOL,ALACHUA
ALACHUA LEARNING ACADEMY MIDDLE,ALACHUA,ALACHUA LEARNING ACADEMY MIDDLE,ALACHUA
ALAFIA ELEMENTARY SCHOOL,HILLSBOROUGH,ALAFIA ELEMENTARY SCHOOL,HILLSBOROUGH
ALANE ACADEMY,HARDEE,ALANE ACADEMY,HARDEE
ALAZHAR SCHOOL,BROWARD,ALAZHAR SCHOOL,BROWARD
ALCO LEARNING CENTER,UNKNOWN,ALCO LEARNING CENTER,OSCEOLA
ALCO POINCIANA,UNKNOWN,ALCO POINCIANA,OSCEOLA
ALDEN ROAD EXCEP. STUDENT CENTER,DUVAL,ALDEN ROAD EXCEP. STUDENT CENTER,DUVAL
ALETHEIA CHRISTIAN ACADEMY,ESCAMBIA,ALETHEIA CHRISTIAN ACADEMY,ESCAMBIA
ALEXANDER ELEMENTARY SCHOOL,HILLSBOROUGH,ALEXANDER ELEMENTARY SCHOOL,HILLSBOROUGH
ALEXANDER MONTESSORI SCHOOL,MIAMI-DADE,ALEXANDER MONTESSORI SCHOOL,MIAMI-DADE
ALEXANDER SCHOOL INC.,MIAMI-DADE,"ALEXANDER SCHOOL, INC.",MIAMI-DADE
"ALEXANDER SCHOOL, INC.",MIAMI-DADE,"ALEXANDER SCHOOL, INC.",MIAMI-DADE
"ALEXANDER SCHOOL, INC. 1ST CAMPUS",MIAMI-DADE,"ALEXANDER SCHOOL, INC.",MIAMI-DADE
ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS,PALM BEACH,ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS,PALM BEACH
ALEXANDER W. DREYFOOS SCHOOL OF THE ARTS,PALM BEACH,ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS,PALM BEACH
ALFRED ADLER ELEMENTARY SCHOOL,PINELLAS,ALFRED ADLER ELEMENTARY SCHOOL,PINELLAS
ALFRED I. DUPONT MIDDLE SCHOOL,DUVAL,ALFRED I. DUPONT MIDDLE SCHOOL,DUVAL
ALHAMBRA HEIGHTS CHALLENGER SCHOOL,MIAMI-DADE,ALHAMBRA HEIGHTS CHALLENGER SCHOOL,MIAMI-DADE
ALICE B. LANDRUM MIDDLE SCHOOL,ST. JOHNS,ALICE B. LANDRUM MIDDLE SCHOOL,ST. JOHNS
ALIMACANI ELEMENTARY SCHOOL,DUVAL,ALIMACANI ELEMENTARY SCHOOL,DUVAL
ALL ABOUT KIDS LEARNING CENTER,PALM BEACH,ALL ABOUT KIDS LEARNING CENTER,PALM BEACH
ALL ABOUT KIDS LEARNING CENTER WPB,PALM BEACH,ALL ABOUT KIDS LEARNING CENTER,PALM BEACH
ALL ANGELS ACADEMY,MIAMI-DADE,ALL ANGELS ACADEMY,MIAMI-DADE
ALL HOPE CHRISTIAN ACADEMY,POLK,ALL HOPE CHRISTIAN ACADEMY,POLK
ALL SAINTS CATHOLIC SCHOOL,BROWARD,ALL SAINTS CATHOLIC SCHOOL,BROWARD
ALL SAINTS CATHOLIC SCHOOL,PALM BEACH,ALL SAINTS CATHOLIC SCHOOL,PALM BEACH
ALL SAINTS' ACADEMY,POLK,ALL SAINTS' ACADEMY,POLK
ALL SOULS CATHOLIC SCHOOL,SEMINOLE,ALL SOULS CATHOLIC SCHOOL,SEMINOLE
ALL STARS EDUCATION ACADEMY,MIAMI-DADE,ALL STARS EDUCATION ACADEMY,MIAMI-DADE
ALL VILLAGES CHRISTIAN SCHOOL,ST. LUCIE,ALL VILLAGES CHRISTIAN SCHOOL,ST. LUCIE
ALLAMANDA ELEMENTARY SCHOOL,PALM BEACH,ALLAMANDA ELEMENTARY SCHOOL,PALM BEACH
ALLAPATTAH FLATS K-8,ST. LUCIE,ALLAPATTAH FLATS K-8,ST. LUCIE
ALLAPATTAH WYNWOOD CHILDCARE SCHOOL,MIAMI-DADE,ALLAPATTAH WYNWOOD CHILDCARE SCHOOL,MIAMI-DADE
ALLEN D NEASE SENIOR HIGH SCHOOL,ST. JOHNS,ALLEN D NEASE HIGH,ST. JOHNS
ALLEN D. NEASE HIGH SCHOOL,ST. JOHNS,ALLEN D NEASE HIGH,ST. JOHNS
ALLEN NEASE HIGH SCHOOL,UNKNOWN,ALLEN D NEASE HIGH,ST. JOHNS
ALLEN PARK ELEMENTARY SCHOOL,LEE,ALLEN PARK ELEMENTARY SCHOOL,LEE
ALLISON ACADEMY,MIAMI-DADE,ALLISON ACADEMY,MIAMI-DADE
ALOMA ELEMENTARY,ORANGE,ALOMA ELEMENTARY SCHOOL,ORANGE
ALOMA HIGH CHARTER,ORANGE,ALOMA HIGH CHARTER,ORANGE
ALONSO HIGH SCHOOL,HILLSBOROUGH,ALONSO HIGH SCHOOL,HILLSBOROUGH
ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL,MIAMI-DADE,ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL,MIAMI-DADE
ALONZO AND TRACY MOURNING,UNKNOWN,ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL,MIAMI-DADE
ALPHA AND OMEGA CHRISTIAN LEARNING CENTER,OKALOOSA,ALPHA AND OMEGA CHRISTIAN LEARNING CENTER,OKALOOSA
ALPHA CHARTER OF EXCELLENCE,MIAMI-DADE,ALPHA CHARTER OF EXCELLENCE,MIAMI-DADE
ALPHA INTERNATIONAL ACADEMY,BROWARD,ALPHA INTERNATIONAL ACADEMY,BROWARD
ALPHA KAI OMEGA - CHAPTER MEETING AT LOCAL CHURCH,UNKNOWN,UNIVERSITY OF FLORIDA,ALACHUA
ALPHA KAI OMEGA-CHAPTER MEETING AT LOCAL CHURCH,UNKNOWN,UNIVERSITY OF FLORIDA,ALACHUA
ALPHA LEARNING ACADEMY,VOLUSIA,ALPHA LEARNING ACADEMY,VOLUSIA
ALPINE ACADEMY,SEMINOLE,ALPINE ACADEMY,SEMINOLE
ALTA VISTA ELEMENTARY SCHOOL,POLK,ALTA VISTA ELEMENTARY SCHOOL,POLK
ALTA VISTA ELEMENTARY SCHOOL,SARASOTA,ALTA VISTA ELEMENTARY SCHOOL,SARASOTA
ALTAMONTE CHRISTIAN SCHOOL,SEMINOLE,ALTAMONTE CHRISTIAN SCHOOL,SEMINOLE
ALTAMONTE ELEMENTARY SCHOOL,SEMINOLE,ALTAMONTE ELEMENTARY SCHOOL,SEMINOLE
ALTERNATIVE CENTER FOR EDUCATION,INDIAN RIVER,ALTERNATIVE CENTER FOR EDUCATION,INDIAN RIVER
ALTERNATIVE EDUCATION FOUNDATION- WESTHAM,BROWARD,ALTERNATIVE EDUCATION FOUNDATION- WESTHAM,BROWARD
ALTERNATIVE OUTREACH PROGRAM,MIAMI-DADE,ALTERNATIVE OUTREACH PROGRAM,MIAMI-DADE
ALTHA PUBLIC SCHOOL,CALHOUN,ALTHA PUBLIC SCHOOL,CALHOUN
ALTIERUS CAREER COLLEGE,HILLSBOROUGH,ALTIERUS CAREER COLLEGE,HILLSBOROUGH
ALTOONA SCHOOL,LAKE,ALTOONA SCHOOL,LAKE
ALTURAS ELEMENTARY SCHOOL,POLK,ALTURAS ELEMENTARY SCHOOL,POLK
ALVA ACADEMY FREE SCHOOL INC.,LEE,ALVA ACADEMY FREE SCHOOL INC.,LEE
AMAZING LEARNING ACADEMY II,MIAMI-DADE,AMAZING LEARNING ACADEMY II,MIAMI-DADE
AMBLESIDE SCHOOL OF OCALA,MARION,AMBLESIDE SCHOOL OF OCALA,MARION
AMBRIY RIDDLE AERONATUTICAL UNIVERSITY,UNKNOWN,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY - DAYTONA BEACH,VOLUSIA
AMELIA EARHART ELEMENTARY SCHOOL,MIAMI-DADE,AMELIA EARHART ELEMENTARY SCHOOL,MIAMI-DADE
AMERICA'S CHRISTIAN FUTURE PRESCHOOL ELEM,MIAMI-DADE,AMERICA'S CHRISTIAN FUTURE PRESCHOOL ELEMEMTARY,MIAMI-DADE
AMERICA'S LITTLE LEADERS ACADEMY,MIAMI-DADE,AMERICA'S LITTLE LEADERS ACADEMY,MIAMI-DADE
AMERICAN ACADEMY OF PINECREST,MIAMI-DADE,AMERICAN ACADEMY OF PINECREST,MIAMI-DADE
AMERICAN CHRISTIAN SCHOOL ART CENTER,MIAMI-DADE,AMERICAN CHRISTIAN SCHOOL ART CENTER,MIAMI-DADE
AMERICAN CLASSICAL CHARTER ACADEMY,OSCEOLA,AMERICAN CLASSICAL CHARTER ACADEMY,OSCEOLA
AMERICAN COLLEGIATE ACADEMY LLC,PINELLAS,AMERICAN COLLEGIATE ACADEMY LLC,PINELLAS
AMERICAN HERITAGE SCHOOL,BROWARD,AMERICAN HERITAGE SCHOOL,BROWARD
AMERICAN HERITAGE SCHOOL OF BOCA/DELRAY,PALM BEACH,AMERICAN HERITAGE SCHOOL OF BOCA/DELRAY,PALM BEACH
AMERICAN HERITAGE SCHOOL OF PLANTATION,BROWARD,AMERICAN HERITAGE SCHOOL OF PLANTATION,BROWARD
AMERICAN HIGH SCHOOL ACADEMY INC.,MIAMI-DADE,AMERICAN HIGH SCHOOL ACADEMY INC.,MIAMI-DADE
"AMERICAN INSTITUTE OF BEAUTY, INC., ST. PETERSBURG CAMPUS",PINELLAS,"AMERICAN INSTITUTE OF BEAUTY, INC., ST. PETERSBURG CAMPUS",PINELLAS
AMERICAN MEDICAL ACADEMY,MIAMI-DADE,AMERICAN MEDICAL ACADEMY,MIAMI-DADE
AMERICAN PREPARATORY ACADEMY,BROWARD,AMERICAN PREPARATORY ACADEMY,BROWARD
AMERICAN SENIOR HIGH ADULT EDUCATION,MIAMI-DADE,AMERICAN SENIOR HIGH ADULT EDUCATION,MIAMI-DADE
AMERICAN SENIOR HIGH SCHOOL,MIAMI-DADE,AMERICAN SENIOR HIGH SCHOOL,MIAMI-DADE
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD
AMERICAN YOUTH ACADEMY INC.,HILLSBOROUGH,AMERICAN YOUTH ACADEMY INC.,HILLSBOROUGH
AMI KIDS TAMPA,HILLSBOROUGH,AMI KIDS TAMPA,HILLSBOROUGH
AMI KIDS YES,HILLSBOROUGH,AMI KIDS YES,HILLSBOROUGH
AMIKIDS,ALACHUA,AMIKIDS,ALACHUA
AMIKIDS ORLANDO,ORANGE,AMIKIDS ORLANDO,ORANGE
AMIKIDS VOLUSIA,VOLUSIA,AMIKIDS VOLUSIA,VOLUSIA
AMOS P. GODBY HIGH SCHOOL,LEON,AMOS P. GODBY HIGH SCHOOL,LEON
AMOS P. GODBY HIGH SCHOOL (TALLAHASSEE),LEON,AMOS P. GODBY HIGH SCHOOL,LEON
ANCLOTE ELEMENTARY SCHOOL,PASCO,ANCLOTE ELEMENTARY SCHOOL,PASCO
ANCLOTE HIGH SCHOOL,PASCO,ANCLOTE HIGH SCHOOL,PASCO
ANDERSON ELEMENTARY SCHOOL,HILLSBOROUGH,ANDERSON ELEMENTARY SCHOOL,HILLSBOROUGH
ANDOVER ELEMENTARY,ORANGE,ANDOVER ELEMENTARY SCHOOL,ORANGE
ANDOVER MIDDLE SCHOOL,MIAMI-DADE,ANDOVER MIDDLE SCHOOL,MIAMI-DADE
ANDREA CASTILLA PREP K-8,MIAMI-DADE,ANDREA CASTILLA PREP K-8,MIAMI-DADE
ANDREW A. ROBINSON ELEMENTARY SCHOOL,DUVAL,ANDREW A. ROBINSON ELEMENTARY SCHOOL,DUVAL
ANDREW JACKSON HIGH SCHOOL,DUVAL,ANDREW JACKSON HIGH SCHOOL,DUVAL
ANDREW JACKSON HIGH SCHOOLE,DUVAL,ANDREW JACKSON HIGH SCHOOL,DUVAL
ANDREW JACKSON MIDDLE SCHOOL,BREVARD,ANDREW JACKSON MIDDLE SCHOOL,BREVARD
ANDREWS HIGH SCHOOL,BROWARD,ANDREWS HIGH SCHOOL,BROWARD
ANGELS REACH ACADEMY FOR DIVERGENT LEARNERS,MIAMI-DADE,ANGELS REACH ACADEMY FOR DIVERGENT LEARNERS,MIAMI-DADE
ANN'S PRESCHOOL AND KINDERGARTEN,LEON,ANN'S PRESCHOOL AND KINDERGARTEN,LEON
ANNA MARIA ELEMENTARY SCHOOL,MANATEE,ANNA MARIA ELEMENTARY SCHOOL,MANATEE
ANNABEL C. PERRY PK-8,BROWARD,ANNABEL C. PERRY PK-8,BROWARD
ANNETTE P. EDWINS ELEMENTARY SCHOOL,OKALOOSA,ANNETTE P. EDWINS ELEMENTARY SCHOOL,OKALOOSA
ANNIE LUCY WILLIAMS ELEMENTARY SCHOOL,MANATEE,ANNIE LUCY WILLIAMS ELEMENTARY SCHOOL,MANATEE
ANNIE R. MORGAN ELEMENTARY SCHOOL,DUVAL,ANNIE R. MORGAN ELEMENTARY SCHOOL,DUVAL
ANNUNCIATION CATHOLIC ACADEMY,SEMINOLE,ANNUNCIATION CATHOLIC ACADEMY,SEMINOLE
ANNUNCIATION CATHOLIC SCHOOL,CLAY,ANNUNCIATION CATHOLIC SCHOOL,CLAY
ANNUNCIATION SCHOOL,BROWARD,ANNUNCIATION SCHOOL,BROWARD
ANONA ELEMENTARY SCHOOL,PINELLAS,ANONA ELEMENTARY SCHOOL,PINELLAS
ANTHONY ELEMENTARY SCHOOL,MARION,ANTHONY ELEMENTARY SCHOOL,MARION
ANTIOCH ELEMENTARY SCHOOL,OKALOOSA,ANTIOCH ELEMENTARY SCHOOL,OKALOOSA
APALACHEE,UNKNOWN,APALACHEE ELEMENTARY SCHOOL,LEON
APALACHEE ELEMENTARY SCHOOL,LEON,APALACHEE ELEMENTARY SCHOOL,LEON
APALACHICOLA BAY CHARTER SCHOOL,FRANKLIN,APALACHICOLA BAY CHARTER SCHOOL,FRANKLIN
APOLLO BEACH ELEMENTARY SCHOOL,HILLSBOROUGH,APOLLO BEACH ELEMENTARY SCHOOL,HILLSBOROUGH
APOLLO ELEMENTARY SCHOOL,BREVARD,APOLLO ELEMENTARY SCHOOL,BREVARD
APOLLO MIDDLE SCHOOL,BROWARD,APOLLO MIDDLE SCHOOL,BROWARD
APOPKA ELEMENTARY,ORANGE,APOPKA ELEMENTARY SCHOOL,ORANGE
APOPKA HIGH,ORANGE,APOPKA HIGH,ORANGE
APOPKA MIDDLE,ORANGE,APOPKA MIDDLE,ORANGE
APPLE LEARNING CENTER,MIAMI-DADE,APPLE LEARNING CENTER,MIAMI-DADE
APPLE TREE ACADEMY PALM CITY,MARTIN,APPLE TREE ACADEMY PALM CITY,MARTIN
APPLE TREE MONTESSORI SCHOOL INC.,BROWARD,APPLE TREE MONTESSORI SCHOOL INC.,BROWARD
ARBOR RIDGE K-8,ORANGE,ARBOR RIDGE K-8,ORANGE
ARBOR SCHOOL OF CENTRAL FLORIDA,SEMINOLE,ARBOR SCHOOL OF CENTRAL FLORIDA,SEMINOLE
ARC BROWARD INC.,BROWARD,ARC BROWARD INC.,BROWARD
"ARC BROWARD, INC.",BROWARD,ARC BROWARD INC.,BROWARD
ARCADIA ACADEMY,MIAMI-DADE,ARCADIA ACADEMY,MIAMI-DADE
ARCHBISHOP COLEMAN F. CARROLL HIGH,MIAMI-DADE,ARCHBISHOP COLEMAN F. CARROLL HIGH,MIAMI-DADE
ARCHBISHOP EDWARD A. MCCARTHY HIGH SCHOOL,BROWARD,ARCHBISHOP EDWARD A. MCCARTHY HIGH SCHOOL,BROWARD
ARCHCREEK ELEMENTARY SCHOOL,MIAMI-DADE,ARCHCREEK ELEMENTARY SCHOOL,MIAMI-DADE
ARCHER ELEMENTARY,ALACHUA,ARCHER ELEMENTARY SCHOOL,ALACHUA
ARCHIMEDEAN ACADEMY,MIAMI-DADE,ARCHIMEDEAN ACADEMY,MIAMI-DADE
ARCHIMEDEAN ACADEMY,UNKNOWN,ARCHIMEDEAN ACADEMY,MIAMI-DADE
ARCHIMEDEAN MIDDLE CONSERVATORY,MIAMI-DADE,ARCHIMEDEAN MIDDLE CONSERVATORY,MIAMI-DADE
ARCHIMEDEAN SCHOOL,UNKNOWN,ARCHIMEDEAN ACADEMY,MIAMI-DADE
ARCHIMEDEAN UPPER CONSERVATORY,MIAMI-DADE,ARCHIMEDEAN UPPER CONSERVATORY,MIAMI-DADE
