precinct,office,party,mode,votes,city,county,candidate,district,dataverse,year,stage,state,special,writein,state_po,state_fips,state_cen,state_ic
4,Governor,all others,total,2,Amesbury,Essex,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,republican,total,1068,Amesbury,Essex,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,democrat,total,311,Amesbury,Essex,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,blanks,total,44,Amesbury,Essex,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,all others,total,6,Amesbury,Essex,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
6,Governor,republican,total,750,Amesbury,Essex,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
6,Governor,democrat,total,401,Amesbury,Essex,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
6,Governor,blanks,total,29,Amesbury,Essex,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
6,Governor,all others,total,2,Amesbury,Essex,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,democrat,total,617,Amherst,Hampshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,republican,total,234,Amherst,Hampshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,blanks,total,24,Amherst,Hampshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,all others,total,0,Amherst,Hampshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10,Governor,democrat,total,565,Amherst,Hampshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10,Governor,republican,total,241,Amherst,Hampshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10,Governor,blanks,total,20,Amherst,Hampshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10,Governor,all others,total,1,Amherst,Hampshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,democrat,total,828,Amherst,Hampshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,republican,total,444,Amherst,Hampshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,blanks,total,31,Amherst,Hampshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,all others,total,2,Amherst,Hampshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,democrat,total,452,Amherst,Hampshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,republican,total,226,Amherst,Hampshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,blanks,total,17,Amherst,Hampshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,all others,total,1,Amherst,Hampshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
4,Governor,democrat,total,414,Amherst,Hampshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
4,Governor,republican,total,228,Amherst,Hampshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
4,Governor,blanks,total,19,Amherst,Hampshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
4,Governor,all others,total,0,Amherst,Hampshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,democrat,total,633,Amherst,Hampshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,republican,total,337,Amherst,Hampshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,blanks,total,22,Amherst,Hampshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,all others,total,2,Amherst,Hampshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
6,Governor,democrat,total,985,Amherst,Hampshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
