precinct,office,party,mode,votes,city,county,candidate,district,dataverse,year,stage,state,special,writein,state_po,state_fips,state_cen,state_ic
6,Governor,republican,total,1102,Billerica,Middlesex,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
6,Governor,democrat,total,352,Billerica,Middlesex,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
6,Governor,blanks,total,50,Billerica,Middlesex,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
6,Governor,all others,total,6,Billerica,Middlesex,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
7,Governor,republican,total,1109,Billerica,Middlesex,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
7,Governor,democrat,total,414,Billerica,Middlesex,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
7,Governor,blanks,total,53,Billerica,Middlesex,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
7,Governor,all others,total,9,Billerica,Middlesex,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
8,Governor,republican,total,1320,Billerica,Middlesex,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
8,Governor,democrat,total,389,Billerica,Middlesex,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
8,Governor,blanks,total,79,Billerica,Middlesex,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
8,Governor,all others,total,10,Billerica,Middlesex,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
9,Governor,republican,total,1187,Billerica,Middlesex,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
9,Governor,democrat,total,349,Billerica,Middlesex,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
9,Governor,blanks,total,73,Billerica,Middlesex,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
9,Governor,all others,total,10,Billerica,Middlesex,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,republican,total,831,Blackstone,Worcester,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,democrat,total,230,Blackstone,Worcester,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,blanks,total,23,Blackstone,Worcester,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,all others,total,1,Blackstone,Worcester,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,republican,total,988,Blackstone,Worcester,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,democrat,total,268,Blackstone,Worcester,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,blanks,total,30,Blackstone,Worcester,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,all others,total,2,Blackstone,Worcester,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,republican,total,948,Blackstone,Worcester,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,democrat,total,242,Blackstone,Worcester,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,blanks,total,30,Blackstone,Worcester,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,all others,total,4,Blackstone,Worcester,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,republican,total,470,Blandford,Hampden,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,democrat,total,106,Blandford,Hampden,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,blanks,total,28,Blandford,Hampden,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,all others,total,0,Blandford,Hampden,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,republican,total,2058,Bolton,Worcester,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,democrat,total,796,Bolton,Worcester,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,blanks,total,75,Bolton,Worcester,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,all others,total,23,Bolton,Worcester,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-1,Governor,republican,total,430,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-1,Governor,democrat,total,421,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-1,Governor,blanks,total,16,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-1,Governor,all others,total,1,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-10,Governor,democrat,total,179,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-10,Governor,republican,total,170,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-10,Governor,blanks,total,21,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-10,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-11,Governor,republican,total,505,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-11,Governor,democrat,total,313,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-11,Governor,blanks,total,32,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-11,Governor,all others,total,1,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-12,Governor,republican,total,530,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-12,Governor,democrat,total,275,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-12,Governor,blanks,total,17,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-12,Governor,all others,total,4,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-13,Governor,republican,total,559,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-13,Governor,democrat,total,403,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-13,Governor,blanks,total,30,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-13,Governor,all others,total,4,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-14,Governor,republican,total,262,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-14,Governor,democrat,total,169,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-14,Governor,blanks,total,14,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-14,Governor,all others,total,5,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-15,Governor,democrat,total,1,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-15,Governor,republican,total,1,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-15,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-15,Governor,blanks,total,0,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-2,Governor,democrat,total,324,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-2,Governor,republican,total,248,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-2,Governor,blanks,total,9,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-2,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-3,Governor,democrat,total,715,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-3,Governor,republican,total,605,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-3,Governor,blanks,total,25,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-3,Governor,all others,total,4,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-4,Governor,democrat,total,278,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-4,Governor,republican,total,237,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-4,Governor,blanks,total,15,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-4,Governor,all others,total,4,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-5,Governor,republican,total,334,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-5,Governor,democrat,total,330,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-5,Governor,blanks,total,18,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-5,Governor,all others,total,4,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-6,Governor,democrat,total,302,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-6,Governor,republican,total,262,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-6,Governor,blanks,total,16,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-6,Governor,all others,total,2,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-7,Governor,democrat,total,316,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-7,Governor,republican,total,255,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-7,Governor,blanks,total,16,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-7,Governor,all others,total,4,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-8,Governor,democrat,total,405,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-8,Governor,republican,total,355,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-8,Governor,blanks,total,14,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-8,Governor,all others,total,5,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-9,Governor,democrat,total,301,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-9,Governor,republican,total,273,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-9,Governor,blanks,total,14,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1-9,Governor,all others,total,6,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-1,Governor,democrat,total,270,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-1,Governor,republican,total,206,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-1,Governor,blanks,total,15,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-1,Governor,all others,total,1,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-2,Governor,democrat,total,268,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-2,Governor,republican,total,160,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-2,Governor,blanks,total,10,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-2,Governor,all others,total,2,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-3,Governor,democrat,total,306,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-3,Governor,republican,total,154,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-3,Governor,blanks,total,20,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-3,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-4,Governor,democrat,total,482,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-4,Governor,republican,total,376,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-4,Governor,blanks,total,27,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-4,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-5,Governor,democrat,total,417,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-5,Governor,republican,total,190,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-5,Governor,blanks,total,17,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-5,Governor,all others,total,3,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-6,Governor,democrat,total,473,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-6,Governor,republican,total,182,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-6,Governor,blanks,total,14,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-6,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-7,Governor,democrat,total,633,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-7,Governor,republican,total,251,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-7,Governor,blanks,total,17,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-7,Governor,all others,total,2,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-8,Governor,democrat,total,786,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-8,Governor,republican,total,364,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-8,Governor,blanks,total,18,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-8,Governor,all others,total,3,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-9,Governor,democrat,total,895,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-9,Governor,republican,total,430,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-9,Governor,blanks,total,11,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
10-9,Governor,all others,total,4,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-1,Governor,democrat,total,340,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-1,Governor,republican,total,174,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-1,Governor,blanks,total,7,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-1,Governor,all others,total,4,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-10,Governor,democrat,total,703,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-10,Governor,republican,total,218,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-10,Governor,blanks,total,26,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-10,Governor,all others,total,5,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-2,Governor,democrat,total,505,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-2,Governor,republican,total,243,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-2,Governor,blanks,total,150,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-2,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-3,Governor,democrat,total,418,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-3,Governor,republican,total,184,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-3,Governor,blanks,total,18,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-3,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-4,Governor,democrat,total,759,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-4,Governor,republican,total,330,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-4,Governor,blanks,total,29,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-4,Governor,all others,total,5,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-5,Governor,democrat,total,590,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-5,Governor,republican,total,267,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-5,Governor,blanks,total,21,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-5,Governor,all others,total,2,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-6,Governor,democrat,total,583,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-6,Governor,republican,total,219,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-6,Governor,blanks,total,20,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-6,Governor,all others,total,1,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-7,Governor,democrat,total,734,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-7,Governor,republican,total,288,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-7,Governor,blanks,total,18,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-7,Governor,all others,total,2,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-8,Governor,democrat,total,925,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-8,Governor,republican,total,342,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-8,Governor,blanks,total,19,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-8,Governor,all others,total,1,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-9,Governor,democrat,total,549,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-9,Governor,republican,total,212,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-9,Governor,blanks,total,11,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
11-9,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-1,Governor,democrat,total,534,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-1,Governor,republican,total,280,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-1,Governor,blanks,total,29,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-1,Governor,all others,total,4,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-2,Governor,democrat,total,607,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-2,Governor,republican,total,331,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-2,Governor,blanks,total,26,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-2,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-3,Governor,democrat,total,306,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-3,Governor,republican,total,169,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-3,Governor,blanks,total,7,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-3,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-4,Governor,democrat,total,327,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-4,Governor,republican,total,184,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-4,Governor,blanks,total,11,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-4,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-5,Governor,democrat,total,220,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-5,Governor,republican,total,130,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-5,Governor,blanks,total,9,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-5,Governor,all others,total,1,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-6,Governor,democrat,total,297,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-6,Governor,republican,total,148,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-6,Governor,blanks,total,18,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-6,Governor,all others,total,0,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-7,Governor,democrat,total,570,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-7,Governor,republican,total,308,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-7,Governor,blanks,total,20,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-7,Governor,all others,total,1,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-8,Governor,democrat,total,236,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-8,Governor,republican,total,126,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-8,Governor,blanks,total,14,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-8,Governor,all others,total,4,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-9,Governor,democrat,total,310,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-9,Governor,republican,total,167,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-9,Governor,blanks,total,17,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
12-9,Governor,all others,total,2,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
13-1,Governor,democrat,total,387,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
13-1,Governor,republican,total,218,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
13-1,Governor,blanks,total,19,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
13-1,Governor,all others,total,3,Boston,Suffolk,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
13-10,Governor,republican,total,652,Boston,Suffolk,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
13-10,Governor,democrat,total,479,Boston,Suffolk,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
13-10,Governor,blanks,total,35,Boston,Suffolk,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
