school	county	school_new	county_new	"##=IF(ISERROR(MATCH(F2,A:A,0)),""Not found"",""Found"")"
CAMBRIDGE INTERNATIONAL ACADEMY	BROWARD	CAMBRIDGE INTERNATIONAL ACADEMY	BROWARD	
CARDINAL GIBBONS HIGH	BROWARD	CARDINAL GIBBONS HIGH SCHOOL	BROWARD	
CARDINAL GIBBONS HIGH SCHOOL	BROWARD	CARDINAL GIBBONS HIGH SCHOOL	BROWARD	
CARE AND SHARE UXBRIDGE CHRISTIAN ACADEMY	BROWARD	CARE AND SHARE UXBRIDGE CHRISTIAN ACADEMY	BROWARD	
CASTLE HILL ELEMENTARY SCHOOL	BROWARD	CASTLE HILL ELEMENTARY SCHOOL	BROWARD	
CENTER ACADEMY-CORAL SPRINGS	BROWARD	CENTER ACADEMY - CORAL SPRINGS	BROWARD	
CENTRAL CHARTER SCHOOL	BROWARD	CENTRAL CHARTER SCHOOL	BROWARD	
CENTRAL PARK ELEMENTARY SCHOOL	BROWARD	CENTRAL PARK ELEMENTARY SCHOOL	BROWARD	
CHALLENGER ELEMENTARY SCHOOL	BROWARD	CHALLENGER ELEMENTARY SCHOOL	BROWARD	
CHAMBERLAIN UNIVERISY-MIRAMAR	BROWARD	CHAMBERLAIN UNIVERSITY	BROWARD	
CHAMBERLAIN UNIVERSITY	BROWARD	CHAMBERLAIN UNIVERSITY	BROWARD	
CHAMINADE-MADONNA COLLEGE PREPARATORY	BROWARD	CHAMINADE-MADONNA COLLEGE PREPARATORY	BROWARD	
CHAMPIONSHIP ACADEMY OF DISTINCTION AT DAVIE	BROWARD	CHAMPIONSHIP ACADEMY OF DISTINCTION AT DAVIE	BROWARD	
CHAMPIONSHIP ACADEMY OF DISTINCTION AT HOLLYWOOD	BROWARD	CHAMPIONSHIP ACADEMY OF DISTINCTION AT HOLLYWOOD	BROWARD	
CHAMPIONSHIP ACADEMY OF DISTINCTION HIGH SCHOOL	BROWARD	CHAMPIONSHIP ACADEMY OF DISTINCTION HIGH SCHOOL	BROWARD	
CHAMPIONSHIP ACADEMY OF DISTINCTION MIDDLE SCHOOL	BROWARD	CHAMPIONSHIP ACADEMY OF DISTINCTION MIDDLE SCHOOL	BROWARD	
CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWA	BROWARD	CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWARD	BROWARD	
CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWAR	BROWARD	CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWARD	BROWARD	
CHAPEL TRAIL ELEMENTARY SCHOOL	BROWARD	CHAPEL TRAIL ELEMENTARY SCHOOL	BROWARD	
CHARLES DREW ELEMENTARY SCHOOL	BROWARD	CHARLES DREW ELEMENTARY SCHOOL	BROWARD	
CHARLES W FLANAGAN HIGH SCHOOL	BROWARD	CHARLES W FLANAGAN HIGH SCHOOL	BROWARD	
CHARTER SCHOOL OF EXCELLENCE	BROWARD	CHARTER SCHOOL OF EXCELLENCE	BROWARD	
CHARTER SCHOOL OF EXCELLENCE AT DAVIE	BROWARD	CHARTER SCHOOL OF EXCELLENCE	BROWARD	
CHILDREN IN THE SPIRIT CHRISTIAN SCHOOL	BROWARD	CHILDREN IN THE SPIRIT CHRISTIAN SCHOOL	BROWARD	
CHILDREN'S WORLD SOUTH OF DAVIE	BROWARD	CHILDREN'S WORLD SOUTH OF DAVIE	BROWARD	
CHRIST CHURCH SCHOOL	BROWARD	CHRIST CHURCH SCHOOL	BROWARD	
CHRISTI ACADEMY	BROWARD	CHRISTI ACADEMY	BROWARD	
CHRISTIAN ACADEMY OF EXCELLENCE	BROWARD	CHRISTIAN ACADEMY OF EXCELLENCE	BROWARD	
CHRISTIAN LIFE ACADEMY	BROWARD	CHRISTIAN LIFE ACADEMY	BROWARD	
CITY COLLEGE - HOLLYWOOD	BROWARD	CITY COLLEGE - HOLLYWOOD	BROWARD	
CITY OF PEMBROKE PINES ACADEMIC VILLAGE MIDDLE SCH	BROWARD	CITY OF PEMBROKE PINES ACADEMIC VILLAGE MIDDLE SCHOOL	BROWARD	
CITY OF PEMBROKE PINES ACADEMIC VILLAGE MIDDLE SCHO	BROWARD	CITY OF PEMBROKE PINES ACADEMIC VILLAGE MIDDLE SCHOOL	BROWARD	
CITY OF PEMBROKE PINES CENTRAL CAMPUS MIDDLE	BROWARD	CITY OF PEMBROKE PINES CENTRAL CAMPUS MIDDLE	BROWARD	
CITY OF PEMBROKE PINES CENTRAL ELEMENTARY	BROWARD	CITY OF PEMBROKE PINES CENTRAL ELEMENTARY SCHOOL	BROWARD	
CITY/PEMBROKE PINES CHARTER HIGH SCHOOL	BROWARD	CITY/PEMBROKE PINES CHARTER HIGH SCHOOL	BROWARD	
CITY/PEMBROKE PINES CHARTER MIDDLE SCHOOL	BROWARD	CITY/PEMBROKE PINES CHARTER MIDDLE SCHOOL	BROWARD	
CLEVER OAKS ACADEMY	BROWARD	CLEVER OAKS ACADEMY	BROWARD	
COCONUT CREEK ELEMENTARY SCHOOL	BROWARD	COCONUT CREEK ELEMENTARY SCHOOL	BROWARD	
COCONUT CREEK HIGH SCHOOL	BROWARD	COCONUT CREEK HIGH SCHOOL	BROWARD	
COCONUT PALM ELEMENTARY SCHOOL	BROWARD	COCONUT PALM ELEMENTARY SCHOOL	BROWARD	
COLBERT ELEMENTARY SCHOOL	BROWARD	COLBERT ELEMENTARY SCHOOL	BROWARD	
COLLEGE ACADEMY AT BROWARD COLLEGE	BROWARD	COLLEGE ACADEMY AT BROWARD COLLEGE	BROWARD	
COLLINS ELEMENTARY SCHOOL	BROWARD	COLLINS ELEMENTARY SCHOOL	BROWARD	
COMMUNITY SCHOOL SOUTH	BROWARD	COMMUNITY SCHOOL SOUTH	BROWARD	
COMPASS OUTREACH AND EDUCATION CENTER	BROWARD	COMPASS OUTREACH AND EDUCATION CENTER	BROWARD	
CONCORDE CAREER INSTITUTE	BROWARD	CONCORDE CAREER INSTITUTE - MIRAMAR	BROWARD	
CONCORDE CAREER INSTITUTE - MIRAMAR	BROWARD	CONCORDE CAREER INSTITUTE - MIRAMAR	BROWARD	
CONCORDE CAREER INSTITUTE-MIRAMAR	BROWARD	CONCORDE CAREER INSTITUTE - MIRAMAR	BROWARD	
COOPER CITY CHRISTIAN ACADEMY	BROWARD	COOPER CITY CHRISTIAN ACADEMY	BROWARD	
COOPER CITY ELEMENTARY SCHOOL	BROWARD	COOPER CITY ELEMENTARY SCHOOL	BROWARD	
COOPER CITY HIGH SCHOOL	BROWARD	COOPER CITY HIGH SCHOOL	BROWARD	
COOPER CITY HS	BROWARD	COOPER CITY HIGH SCHOOL	BROWARD	
CORAL COVE ELEMENTARY SCHOOL	BROWARD	CORAL COVE ELEMENTARY SCHOOL	BROWARD	
CORAL GLADES HIGH SCHOOL	BROWARD	CORAL GLADES HIGH SCHOOL	BROWARD	
CORAL PARK ELEMENTARY SCHOOL	BROWARD	CORAL PARK ELEMENTARY SCHOOL	BROWARD	
CORAL SPRINGS CHARTER SCHOOL	BROWARD	CORAL SPRINGS CHARTER SCHOOL	BROWARD	
CORAL SPRINGS HIGH SCHOOL	BROWARD	CORAL SPRINGS HIGH SCHOOL	BROWARD	
CORAL SPRINGS K-8	BROWARD	CORAL SPRINGS PK-8	BROWARD	
CORAL SPRINGS MIDDLE SCHOOL	BROWARD	CORAL SPRINGS MIDDLE SCHOOL	BROWARD	
CORAL SPRINGS PK-8	BROWARD	CORAL SPRINGS PK-8	BROWARD	
COUNTRY HILLS ELEMENTARY SCHOOL	BROWARD	COUNTRY HILLS ELEMENTARY SCHOOL	BROWARD	
COUNTRY ISLES ELEMENTARY SCHOOL	BROWARD	COUNTRY ISLES ELEMENTARY SCHOOL	BROWARD	
CRAYONS CHILDCARE	BROWARD	CRAYONS CHILDCARE	BROWARD	
CRESTHAVEN ELEMENTARY SCHOOL	BROWARD	CRESTHAVEN ELEMENTARY SCHOOL	BROWARD	
CROISSANT PARK ELEMENTARY SCHOOL	BROWARD	CROISSANT PARK ELEMENTARY SCHOOL	BROWARD	
CROISSANT PK ELEM	BROWARD	CROISSANT PK ELEM	BROWARD	
CROSS CREEK SCHOOL	BROWARD	CROSS CREEK SCHOOL	BROWARD	
CRYSTAL LAKE MIDDLE SCHOOL	BROWARD	CRYSTAL LAKE MIDDLE SCHOOL	BROWARD	
CYPRESS BAY HIGH SCHOOL	BROWARD	CYPRESS BAY HIGH SCHOOL	BROWARD	
CYPRESS ELEMENTARY SCHOOL	BROWARD	CYPRESS ELEMENTARY SCHOOL	BROWARD	
CYPRESS RUN ALTERNATIVE CENTER	BROWARD	CYPRESS RUN ALTERNATIVE CENTER	BROWARD	
DANIA ELEMENTARY SCHOOL	BROWARD	DANIA ELEMENTARY SCHOOL	BROWARD	
DAVE THOMAS EDUCATION CENTER WEST	BROWARD	DAVE THOMAS EDUCATION CENTER WEST	BROWARD	
DAVID POSNACK JEWISH COMMUNITY CENTER	BROWARD	DAVID POSNACK JEWISH COMMUNITY CENTER	BROWARD	
DAVID POSNACK JEWISH DAY SCHOOL	BROWARD	DAVID POSNACK JEWISH DAY SCHOOL EAST CAMPUS	BROWARD	
DAVID POSNACK JEWISH DAY SCHOOL EAST CAMPUS	BROWARD	DAVID POSNACK JEWISH DAY SCHOOL EAST CAMPUS	BROWARD	
DAVID POSNACK SCHOOL IN DAVIE	BROWARD	DAVID POSNACK SCHOOL IN DAVIE	BROWARD	
DAVIE ELEMENTARY SCHOOL	BROWARD	DAVIE ELEMENTARY SCHOOL	BROWARD	
DAVIE PROFESSIONAL DEVELOPMENT CENTER	BROWARD	DAVIE PROFESSIONAL DEVELOPMENT CENTER	BROWARD	
DEERFIELD BEACH ELEMENTARY SCHOOL	BROWARD	DEERFIELD BEACH ELEMENTARY SCHOOL	BROWARD	
DEERFIELD BEACH HIGH SCHOOL	BROWARD	DEERFIELD BEACH HIGH SCHOOL	BROWARD	
DEERFIELD BEACH MIDDLE SCHOOL	BROWARD	DEERFIELD BEACH MIDDLE SCHOOL	BROWARD	
DEERFIELD PARK ELEMENTARY SCHOOL	BROWARD	DEERFIELD PARK ELEMENTARY SCHOOL	BROWARD	
DELMAR ARTS ACADEMY	BROWARD	DELMAR ARTS ACADEMY	BROWARD	
DICKENS SANOMI ACADEMY	BROWARD	DICKENS SANOMI ACADEMY	BROWARD	
DILLARD 6-12	BROWARD	DILLARD 6-12	BROWARD	
DILLARD ELEMENTARY SCHOOL	BROWARD	DILLARD ELEMENTARY SCHOOL	BROWARD	
DISCOVERY ELEMENTARY SCHOOL	BROWARD	DISCOVERY ELEMENTARY SCHOOL	BROWARD	
DIVINE ACADEMY LLC	BROWARD	DIVINE ACADEMY LLC	BROWARD	
DOLPHIN BAY ELEMENTARY SCHOOL	BROWARD	DOLPHIN BAY ELEMENTARY SCHOOL	BROWARD	
DR. MARTIN LUTHER KING JR. MONTESSORI ACADEMY	BROWARD	DR. MARTIN LUTHER KING JR. MONTESSORI ACADEMY	BROWARD	
DR. MARTIN LUTHER KING, JR. MONTESSORI ACADEMY	BROWARD	DR. MARTIN LUTHER KING JR. MONTESSORI ACADEMY	BROWARD	
DRIFTWOOD ELEMENTARY SCHOOL	BROWARD	DRIFTWOOD ELEMENTARY SCHOOL	BROWARD	
DRIFTWOOD MIDDLE SCHOOL	BROWARD	DRIFTWOOD MIDDLE SCHOOL	BROWARD	
EAGLE POINT ELEMENTARY	BROWARD	EAGLE POINT ELEMENTARY SCHOOL	BROWARD	
EAGLE POINT ELEMENTARY SCHOOL	BROWARD	EAGLE POINT ELEMENTARY SCHOOL	BROWARD	
EAGLE RIDGE ELEMENTARY SCHOOL	BROWARD	EAGLE RIDGE ELEMENTARY SCHOOL	BROWARD	
EAGLES NEST CHARTER ACADEMY	BROWARD	EAGLES NEST CHARTER ACADEMY	BROWARD	
EAGLES NEST MIDDLE CHARTER SCHOOL	BROWARD	EAGLES NEST MIDDLE CHARTER SCHOOL	BROWARD	
ECB EDUCATIONAL CENTER	BROWARD	ECB EDUCATIONAL CENTER	BROWARD	
ECOKIDS BILINGUAL PRESCHOOLS	BROWARD	ECOKIDS BILINGUAL PRESCHOOLS	BROWARD	
EDUCATION STATION PRESCHOOL	BROWARD	EDUCATION STATION PRESCHOOL	BROWARD	
ELITE ACADEMY SCHOOL OF EXCELLENCE	BROWARD	ELITE ACADEMY SCHOOL OF EXCELLENCE	BROWARD	
EMBASSY CREEK ELEMENTARY SCHOOL	BROWARD	EMBASSY CREEK ELEMENTARY SCHOOL	BROWARD	
EMERGENCY EDUCATION INSTITUTE-EEI	BROWARD	EMERGENCY EDUCATION INSTITUTE-EEI	BROWARD	
ENDEAVOUR PRIMARY LEARNING CENTER	BROWARD	ENDEAVOUR PRIMARY LEARNING CENTER	BROWARD	
EVERGLADES ELEMENTARY SCHOOL	BROWARD	EVERGLADES ELEMENTARY SCHOOL	BROWARD	
EVERGLADES HIGH SCHOOL	BROWARD	EVERGLADES HIGH SCHOOL	BROWARD	
EXCELSIOR ARTZ PREPARATORY SCHOOL	BROWARD	EXCELSIOR ARTZ PREPARATORY SCHOOL	BROWARD	
EXCELSIOR CHARTER OF BROWARD	BROWARD	EXCELSIOR CHARTER OF BROWARD	BROWARD	
EXCELSIOR INTERNATIONAL ACADEMY	BROWARD	EXCELSIOR INTERNATIONAL ACADEMY	BROWARD	
FAIRWAY ELEMENTARY SCHOOL	BROWARD	FAIRWAY ELEMENTARY SCHOOL	BROWARD	
FALCON COVE MIDDLE SCHOOL	BROWARD	FALCON COVE MIDDLE SCHOOL	BROWARD	
FIDELIS ACADEMY	BROWARD	FIDELIS ACADEMY	BROWARD	
FIRST BAPTIST ACADEMY	BROWARD	FIRST BAPTIST ACADEMY	BROWARD	
FIRST BAPTIST CHURCH PRESCHOOL LEARNING CENTER	BROWARD	FIRST BAPTIST CHURCH PRESCHOOL LEARNING CENTER	BROWARD	
FIRST PRESBYTERIAN LEARNING CENTER	BROWARD	FIRST PRESBYTERIAN LEARNING CENTER	BROWARD	
FLAMINGO ELEMENTARY SCHOOL	BROWARD	FLAMINGO ELEMENTARY SCHOOL	BROWARD	
FLORANADA ELEMENTARY SCHOOL	BROWARD	FLORANADA ELEMENTARY SCHOOL	BROWARD	
FLORIDA ATLANTIC UNIVERSITY	BROWARD	FLORIDA ATLANTIC UNIVERSITY	BROWARD	
FLORIDA ATLANTIC UNIVERSITY - DANIA BEACH	BROWARD	FLORIDA ATLANTIC UNIVERSITY- DANIA BEACH	BROWARD	
FLORIDA ATLANTIC UNIVERSITY- DAVIE CAMPUS	BROWARD	FLORIDA ATLANTIC UNIVERSITY- DAVIE CAMPUS	BROWARD	
FLORIDA ATLANTIC UNIVERSITY- FORT LAUDERDALE	BROWARD	FLORIDA ATLANTIC UNIVERSITY- FORT LAUDERDALE	BROWARD	
FLORIDA ATLANTIC UNIVERSITY-DAVIE	BROWARD	FLORIDA ATLANTIC UNIVERSITY- DAVIE CAMPUS	BROWARD	
FLORIDA ATLANTIC UNIVERSITY-FORT LAUDERDALE	BROWARD	FLORIDA ATLANTIC UNIVERSITY- FORT LAUDERDALE	BROWARD	
FLORIDA CAREER COLLEGE	BROWARD	FLORIDA CAREER COLLEGE	BROWARD	
FLORIDA CAREER COLLEGE - LAUDERDALE LAKES	BROWARD	FLORIDA CAREER COLLEGE - LAUDERDALE LAKES	BROWARD	
FLORIDA CAREER COLLEGE - MARGATE	BROWARD	FLORIDA CAREER COLLEGE - MARGATE	BROWARD	
FLORIDA CAREER COLLEGE - PEMBROKE PINES	BROWARD	FLORIDA CAREER COLLEGE - PEMBROKE PINES	BROWARD	
FLORIDA CAREER COLLEGE-LAUDERDALE LAKES	BROWARD	FLORIDA CAREER COLLEGE - LAUDERDALE LAKES	BROWARD	
FLORIDA CAREER COLLEGE-PEMBROKE PINES	BROWARD	FLORIDA CAREER COLLEGE - PEMBROKE PINES	BROWARD	
FLORIDA TECHNICAL COLLEGE - PEMBROKE PINES	BROWARD	FLORIDA TECHNICAL COLLEGE - PEMBROKE PINES	BROWARD	
FOREST GLEN MIDDLE SCHOOL	BROWARD	FOREST GLEN MIDDLE SCHOOL	BROWARD	
FOREST HILLS ELEMENTARY SCHOOL	BROWARD	FOREST HILLS ELEMENTARY SCHOOL	BROWARD	
FORT LAUDERDALE HIGH SCHOOL	BROWARD	FORT LAUDERDALE HIGH SCHOOL	BROWARD	
FORTLO ACADEMY	BROWARD	FORTLO ACADEMY	BROWARD	
FOX TRAIL ELEMENTARY SCHOOL	BROWARD	FOX TRAIL ELEMENTARY SCHOOL	BROWARD	
FRANKLIN ACADEMY COOPER CITY	BROWARD	FRANKLIN ACADEMY COOPER CITY	BROWARD	
FRANKLIN ACADEMY F	BROWARD	FRANKLIN ACADEMY PEMBROKE PINES HIGH SCHOOL	BROWARD	
FRANKLIN ACADEMY PEMBROKE PINES	BROWARD	FRANKLIN ACADEMY PEMBROKE PINES HIGH SCHOOL	BROWARD	
FRANKLIN ACADEMY PEMBROKE PINES HIGH SCHOOL	BROWARD	FRANKLIN ACADEMY PEMBROKE PINES HIGH SCHOOL	BROWARD	
FRANKLIN ACADEMY SUNRISE	BROWARD	FRANKLIN ACADEMY SUNRISE	BROWARD	
GATOR RUN ELEMENTARY SCHOOL	BROWARD	GATOR RUN ELEMENTARY SCHOOL	BROWARD	
GLADES CHRISTIAN ACADEMY	BROWARD	GLADES CHRISTIAN ACADEMY	BROWARD	
GLADES MIDDLE SCHOOL	BROWARD	GLADES MIDDLE SCHOOL	BROWARD	
GRACE AND FAITH INTERNATIONAL ACADEMY INC.	BROWARD	GRACE AND FAITH INTERNATIONAL ACADEMY INC	BROWARD	
GRACE CHRISTIAN PRESCHOOL	BROWARD	GRACE CHRISTIAN PRESCHOOL	BROWARD	
GREENTREE PREPARATORY CHARTER SCHOOL	BROWARD	GREENTREE PREPARATORY CHARTER SCHOOL	BROWARD	
GRIFFIN ELEMENTARY SCHOOL	BROWARD	GRIFFIN ELEMENTARY SCHOOL	BROWARD	
GUIDEPOST MONTESSORI AT HOLLYWOOD BEACH	BROWARD	GUIDEPOST MONTESSORI AT HOLLYWOOD BEACH	BROWARD	
GULFSTREAM ACADEMY OF HALLANDALE BEACH	BROWARD	GULFSTREAM ACADEMY OF HALLANDALE BEACH	BROWARD	
GULFSTREAM EARLY CHILDHOOD CENTER OF EXCELLENCE	BROWARD	GULFSTREAM EARLY CHILDHOOD CENTER OF EXCELLENCE	BROWARD	
HALLANDALE HIGH SCHOOL	BROWARD	HALLANDALE HIGH SCHOOL	BROWARD	
HALLANDALE HOUSE OF LEARNING	BROWARD	HALLANDALE HOUSE OF LEARNING	BROWARD	
HARBORDALE ELEMENTARY SCHOOL	BROWARD	HARBORDALE ELEMENTARY SCHOOL	BROWARD	
HARVARD ACADEMY	BROWARD	HARVARD INTERNATIONAL ACADEMY	BROWARD	
HARVARD INTERNATIONAL ACADEMY	BROWARD	HARVARD INTERNATIONAL ACADEMY	BROWARD	
HAWKES BLUFF ELEMENTARY SCHOOL	BROWARD	HAWKES BLUFF ELEMENTARY SCHOOL	BROWARD	
HCI COLLEGE	BROWARD	HCI COLLEGE - FORT LAUDERDALE	BROWARD	
HCI COLLEGE - FORT LAUDERDALE	BROWARD	HCI COLLEGE - FORT LAUDERDALE	BROWARD	
HCI COLLEGE-FORT LAUDERDALE	BROWARD	HCI COLLEGE - FORT LAUDERDALE	BROWARD	
HEBREW ACADEMY COMMUNITY SCHOOL	BROWARD	HEBREW ACADEMY COMMUNITY SCHOOL	BROWARD	
HENRY D PERRY EDUCATION CENTER	BROWARD	HENRY D PERRY EDUCATION CENTER	BROWARD	
HERON HEIGHTS ELEMENTARY SCHOOL	BROWARD	HERON HEIGHTS ELEMENTARY SCHOOL	BROWARD	
HI TECH KIDZ KOLLEGE	BROWARD	HI TECH KIDZ KOLLEGE	BROWARD	
HIGHLANDS CHRISTIAN ACADEMY	BROWARD	HIGHLANDS CHRISTIAN ACADEMY	BROWARD	
HOCHBERG PREPARATORY SCHOOL	BROWARD	HOCHBERG PREPARATORY SCHOOL	BROWARD	
HOLLYWOOD ACADEMY OF ARTS & SCIENCE	BROWARD	HOLLYWOOD ACADEMY OF ARTS AND SCIENCE MIDDLE SCHOOL	BROWARD	
HOLLYWOOD ACADEMY OF ARTS AND SCIENCE MIDDLE SCH	BROWARD	HOLLYWOOD ACADEMY OF ARTS AND SCIENCE MIDDLE SCHOOL	BROWARD	
HOLLYWOOD ACADEMY OF ARTS AND SCIENCE MIDDLE SCHO	BROWARD	HOLLYWOOD ACADEMY OF ARTS AND SCIENCE MIDDLE SCHOOL	BROWARD	
HOLLYWOOD ACADEMY OF ARTS AND SCIENCE MIDDLE SCHOOL	BROWARD	HOLLYWOOD ACADEMY OF ARTS AND SCIENCE MIDDLE SCHOOL	BROWARD	
HOLLYWOOD CENTRAL ELEMENTARY SCHOOL	BROWARD	HOLLYWOOD CENTRAL ELEMENTARY SCHOOL	BROWARD	
