county,county_new,school,school_new
UNKNOWN,MIAMI-DADE,MIAMI DADE COLLEGE-WOLFSON,MIAMI DADE COLLEGE- WOLFSON CAMPUS
UNKNOWN,MIAMI-DADE,MIAMI DADE COUNTY CENTRAL WEST BUS,MIAMI DADE COUNTY SCHOOLS
UNKNOWN,MIAMI-DADE,MIAMI DADE COUNTY MAINTENCE FOR PUBLIC SCHOOLS,MIAMI DADE COUNTY SCHOOLS
UNKNOWN,MIAMI-DADE,MIAMI DADE COUNTY SCHOOLS,MIAMI DADE COUNTY SCHOOLS
UNKNOWN,MIAMI-DADE,MIAMI-DADE COUNTY PUBLIC SCHOOL,MIAMI DADE COUNTY SCHOOLS
UNKNOWN,MIAMI-DADE,MIAMI DADE PUBLIC SAFETY TRAINING INSTITUTE,MIAMI DADE PUBLIC SCHOOL
UNKNOWN,MIAMI-DADE,MCPS BUS DRIVER,MIAMI DADE PUBLIC SCHOOL
UNKNOWN,MIAMI-DADE,MCPS DISTRICT OFFICE,MIAMI DADE PUBLIC SCHOOL
UNKNOWN,MIAMI-DADE,MCSB TRANSPORTATION AND PARTS,MIAMI DADE PUBLIC SCHOOL
UNKNOWN,MIAMI-DADE,MIAMI DADE PUBLIC SCHOOL,MIAMI DADE PUBLIC SCHOOL
UNKNOWN,MIAMI-DADE,MIAMI DADE PUBLIC SCHOOLS - BUS DRIVER,MIAMI DADE PUBLIC SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI EDISON SENIOR HIGH SCHOOL,MIAMI EDISON SENIOR HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI GARDENS ELEMENTARY SCHOOL,MIAMI GARDENS ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI HEIGHTS ELEMENTARY SCHOOL,MIAMI HEIGHTS ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN
MIAMI-DADE,MIAMI-DADE,MIAMI JACKSON SENIOR HIGH SCHOOL,MIAMI JACKSON SENIOR HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI KILLIAN SENIOR HIGH SCHOOL,MIAMI KILLIAN SENIOR HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI LAKES EDUCATIONAL CENTER,MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLEGE
MIAMI-DADE,MIAMI-DADE,MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLE,MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLEGE
MIAMI-DADE,MIAMI-DADE,MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLEG,MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLEGE
MIAMI-DADE,MIAMI-DADE,MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLEGE,MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLEGE
MIAMI-DADE,MIAMI-DADE,MIAMI LAKES K-8 CENTER,MIAMI LAKES K-8 CENTER
UNKNOWN,MIAMI-DADE,MIAMI LAKES K8,MIAMI LAKES K-8 CENTER
MIAMI-DADE,MIAMI-DADE,MIAMI LAKES KINDERCARE,MIAMI LAKES KINDERCARE
MIAMI-DADE,MIAMI-DADE,MIAMI LAKES MIDDLE SCHOOL,MIAMI LAKES MIDDLE SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI NORLAND SENIOR HIGH SCHOOL,MIAMI NORLAND SENIOR HIGH SCHOOL
UNKNOWN,MIAMI-DADE,MIAMI-DADE - MIAMI NORLAND SENIOR HIGH SCHOOL,MIAMI NORLAND SENIOR HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI NORTHWESTERN SENIOR HIGH,MIAMI NORTHWESTERN SENIOR HIGH
MIAMI-DADE,MIAMI-DADE,MIAMI PALMETTO SENIOR HIGH ADULT,MIAMI PALMETTO SENIOR HIGH ADULT
MIAMI-DADE,MIAMI-DADE,MIAMI PALMETTO SENIOR HIGH SCHOOL,MIAMI PALMETTO SENIOR HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI PREP SCHOOLS,MIAMI PREP SCHOOLS
MIAMI-DADE,MIAMI-DADE,MIAMI REGIONAL UNIVERSITY,MIAMI REGIONAL UNIVERSITY
MIAMI-DADE,MIAMI-DADE,MIAMI SENIOR HIGH SCHOOL,MIAMI SENIOR HIGH SCHOOL
UNKNOWN,MIAMI-DADE,MIAMI-DADE - MIAMI SENIOR HIGH SCHOOL,MIAMI SENIOR HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI SHORES ELEMENTARY SCHOOL,MIAMI SHORES ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI SHORES PRESBYTERIAN CHURCH SCHOOL,MIAMI SHORES PRESBYTERIAN CHURCH SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI SOUTHRIDGE SENIOR HIGH,MIAMI SOUTHRIDGE SENIOR HIGH
MIAMI-DADE,MIAMI-DADE,MIAMI SPRINGS ELEMENTARY SCHOOL,MIAMI SPRINGS ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI SPRINGS MIDDLE SCHOOL,MIAMI SPRINGS MIDDLE SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI SPRINGS SENIOR HIGH ADULT,MIAMI SPRINGS SENIOR HIGH ADULT
MIAMI-DADE,MIAMI-DADE,MIAMI SPRINGS SENIOR HIGH SCHOOL,MIAMI SPRINGS SENIOR HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,MIAMI SUNSET SENIOR HIGH SCHOOL,MIAMI SUNSET SENIOR HIGH SCHOOL
ALACHUA,ALACHUA,MICANOPY ACADEMY,MICANOPY ACADEMY
ALACHUA,ALACHUA,"MICANOPY AREA COOPERATIVE SCHOOL, INC.","MICANOPY AREA COOPERATIVE SCHOOL, INC."
UNKNOWN,MIAMI-DADE,MICCOSUKEE INDIAN SCHOOL,MICCOSUKEE INDIAN SCHOOL
ORANGE,ORANGE,MICHAEL MCCOY ELEMENTARY,MICHAEL MCCOY ELEMENTARY SCHOOL
DUVAL,DUVAL,MICHELE BLOCK GAN YELADIM AT THE JCA,MICHELE BLOCK GAN YELADIM AT THE JCA
OSCEOLA,OSCEOLA,MICHIGAN AVENUE ELEMENTARY SCHOOL,MICHIGAN AVENUE ELEMENTARY SCHOOL
CLAY,CLAY,MIDDLEBURG ELEMENTARY SCHOOL,MIDDLEBURG ELEMENTARY SCHOOL
UNKNOWN,CLAY,MIDDLEBURG ELEMENTARY SCHOOL,MIDDLEBURG ELEMENTARY SCHOOL
CLAY,CLAY,MIDDLEBURG HIGH SCHOOL,MIDDLEBURG HIGH SCHOOL
UNKNOWN,HILLSBOROUGH,GEORGE MIDDLETON HIGH SCHOOL,MIDDLETON HIGH SCHOOL
HILLSBOROUGH,HILLSBOROUGH,MIDDLETON HIGH SCHOOL,MIDDLETON HIGH SCHOOL
PUTNAM,PUTNAM,MIDDLETON-BURNEY ELEMENTARY SCHOOL,MIDDLETON-BURNEY ELEMENTARY SCHOOL
PINELLAS,PINELLAS,MIDTOWN ACADEMY,MIDTOWN ACADEMY
SEMINOLE,SEMINOLE,MIDWAY ELEMENTARY SCHOOL,MIDWAY ELEMENTARY SCHOOL
COLLIER,COLLIER,MIKE DAVIS ELEMENTARY SCHOOL,MIKE DAVIS ELEMENTARY SCHOOL
BREVARD,BREVARD,MILA ELEMENTARY SCHOOL,MILA ELEMENTARY SCHOOL
PINELLAS,PINELLAS,MILDRED HELMS ELEMENTARY SCHOOL,MILDRED HELMS ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,MILES ELEMENTARY SCHOOL,MILES ELEMENTARY SCHOOL
ST. JOHNS,ST. JOHNS,MILL CREEK ACADEMY,MILL CREEK ACADEMY
OSCEOLA,OSCEOLA,MILL CREEK ELEMENTARY SCHOOL,MILL CREEK ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,MILLENNIA ATLANTIC UNIVERSITY,MILLENNIA ATLANTIC UNIVERSITY
ORANGE,ORANGE,MILLENNIA ELEMENTARY,MILLENNIA ELEMENTARY SCHOOL
ORANGE,ORANGE,MILLENNIA GARDENS ELEMENTARY,MILLENNIA GARDENS ELEMENTARY SCHOOL
UNKNOWN,BROWARD,MILLENIUN 6-12 MS,MILLENNIUM 6-12 COLLEGIATE ACADEMY
BROWARD,BROWARD,MILLENNIUM 6-12 COLLEGIATE ACADEMY,MILLENNIUM 6-12 COLLEGIATE ACADEMY
PASCO,PASCO,MILLENNIUM ACADEMY,MILLENNIUM ACADEMY
BROWARD,BROWARD,MILLENNIUM LEADERSHIP CHRISTIAN ACADEMY INC,MILLENNIUM LEADERSHIP CHRISTIAN ACADEMY INC
SEMINOLE,SEMINOLE,MILLENNIUM MIDDLE SCHOOL,MILLENNIUM MIDDLE SCHOOL
ALACHUA,ALACHUA,MILLHOPPER MONTESSORI SCHOOL,MILLHOPPER MONTESSORI SCHOOL
SANTA ROSA,SANTA ROSA,MILTON HIGH SCHOOL,MILTON HIGH SCHOOL
SEMINOLE,SEMINOLE,MILWEE MIDDLE SCHOOL,MILWEE MIDDLE SCHOOL
BREVARD,BREVARD,MIMS ELEMENTARY SCHOOL,MIMS ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,MINI ME ACADEMY,MINI ME ACADEMY
LAKE,LAKE,MINNEOLA CHARTER SCHOOL,MINNEOLA CHARTER SCHOOL
LAKE,LAKE,MINNEOLA CONVERSION CHARTER SCHOOL,MINNEOLA CONVERSION CHARTER SCHOOL
HILLSBOROUGH,HILLSBOROUGH,MINTZ ELEMENTARY SCHOOL,MINTZ ELEMENTARY SCHOOL
ORANGE,ORANGE,MIRACLE GRACE ACADEMY,MIRACLE GRACE ACADEMY
PASCO,PASCO,MIRACLES SCHOOLS,MIRACLES SCHOOLS
BROWARD,BROWARD,MIRAMAR ELEMENTARY SCHOOL,MIRAMAR ELEMENTARY SCHOOL
BROWARD,BROWARD,MIRAMAR HIGH SCHOOL,MIRAMAR HIGH SCHOOL
UNKNOWN,BROWARD,BROWARD - MIRAMAR HIGH SCHOOL,MIRAMAR HIGH SCHOOL
BROWARD,BROWARD,MIRROR LAKE ELEMENTARY SCHOOL,MIRROR LAKE ELEMENTARY SCHOOL
LEE,LEE,MIRROR LAKES ELEMENTARY SCHOOL,MIRROR LAKES ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,MISSIONARY CHRISTIAN ACADEMY,MISSIONARY CHRISTIAN ACADEMY
HILLSBOROUGH,HILLSBOROUGH,MISSIONARY CHRISTIAN SCHOOL,MISSIONARY CHRISTIAN SCHOOL
HILLSBOROUGH,HILLSBOROUGH,MITCHELL ELEMENTARY SCHOOL,MITCHELL ELEMENTARY SCHOOL
PASCO,PASCO,MITTYE P. LOCKE ELEMENTARY SCHOOL,MITTYE P. LOCKE ELEMENTARY SCHOOL
ESCAMBIA,ESCAMBIA,MOLINO PARK ELEMENTARY,MOLINO PARK ELEMENTARY SCHOOL
UNKNOWN,ESCAMBIA,MOLINO PARK ELEMENTARY REMOTE,MOLINO PARK ELEMENTARY SCHOOL
ORANGE,ORANGE,MOLLIE RAY ELEMENTARY,MOLLIE RAY ELEMENTARY SCHOOL
VOLUSIA,VOLUSIA,MONARCH ACADEMY,MONARCH ACADEMY
BROWARD,BROWARD,MONARCH HIGH SCHOOL,MONARCH HIGH SCHOOL
ORANGE,ORANGE,MONARCH LEARNING ACADEMY,MONARCH LEARNING ACADEMY
MONROE,MONROE,MONROE COUNTY DETENTION CENTER,MONROE COUNTY DETENTION CENTER
MONROE,MONROE,MONROE DISTRICT OFFICE,MONROE DISTRICT OFFICE
HILLSBOROUGH,HILLSBOROUGH,MONROE MIDDLE MAGNET SCHOOL,MONROE MIDDLE MAGNET SCHOOL
MIAMI-DADE,MIAMI-DADE,MONSIGNOR EDWARD PACE HIGH SCHOOL,MONSIGNOR EDWARD PACE HIGH SCHOOL
CLAY,CLAY,MONTCLAIR ELEMENTARY SCHOOL,MONTCLAIR ELEMENTARY SCHOOL
ESCAMBIA,ESCAMBIA,MONTCLAIR ELEMENTARY SCHOOL,MONTCLAIR ELEMENTARY SCHOOL
BROWARD,BROWARD,MONTESSORI ACADEMY,MONTESSORI ACADEMY
OSCEOLA,OSCEOLA,MONTESSORI ACADEMY OF CELEBRATION,MONTESSORI ACADEMY OF CELEBRATION
PALM BEACH,PALM BEACH,"MONTESSORI ACADEMYOF EARLY ENRICHMENT, INC","MONTESSORI ACADEMY OF EARLY ENRICHMENT, INC"
COLLIER,COLLIER,MONTESSORI ACADEMY OF NAPLES,MONTESSORI ACADEMY OF NAPLES
UNKNOWN,HILLSBOROUGH,"MONTESSORI ACADEMY OF SOUTH TAMPA, LLC","MONTESSORI ACADEMY OF SOUTH TAMPA, LLC"
LAKE,LAKE,MONTESSORI AT ROSEBOROUGH,MONTESSORI AT ROSEBOROUGH
ORANGE,ORANGE,MONTESSORI BILINGUAL ACADEMY,MONTESSORI BILINGUAL ACADEMY
PINELLAS,PINELLAS,MONTESSORI BY THE SEA,MONTESSORI BY THE SEA
MIAMI-DADE,MIAMI-DADE,MONTESSORI CHILDREN'S ACADEMY,MONTESSORI CHILDREN'S ACADEMY
MONROE,MONROE,MONTESSORI CHILDREN'S SCHOOL OF KEY WEST,MONTESSORI CHILDREN'S SCHOOL OF KEY WEST
BROWARD,BROWARD,MONTESSORI INSTITUTE OF BROWARD,MONTESSORI INSTITUTE OF BROWARD
OKALOOSA,OKALOOSA,MONTESSORI LEARNING CENTER OF FT. WALTON,MONTESSORI LEARNING CENTER OF FT. WALTON
MARION,MARION,MONTESSORI PREPARATORY ACADEMY OF OCALA,MONTESSORI PREPARATORY SCHOOL OF OCALA INC
MARION,MARION,MONTESSORI PREPARATORY SCHOOL OF OCALA INC,MONTESSORI PREPARATORY SCHOOL OF OCALA INC
ORANGE,ORANGE,MONTESSORI SCHOOL OF EAST ORLANDO,MONTESSORI SCHOOL OF EAST ORLANDO
LEE,LEE,MONTESSORI SCHOOL OF FT. MYERS,MONTESSORI SCHOOL OF FT. MYERS
ESCAMBIA,ESCAMBIA,MONTESSORI SCHOOL OF PENSACOLA,MONTESSORI SCHOOL OF PENSACOLA
ESCAMBIA,ESCAMBIA,MONTESSORI SCHOOL OF PENSACOLA MD CAMPUS,MONTESSORI SCHOOL OF PENSACOLA
ORANGE,ORANGE,MONTESSORI WAY SCHOOL,MONTESSORI WAY SCHOOL
ORANGE,ORANGE,MONTESSORI WORLD SCHOOL,MONTESSORI WORLD SCHOOL
LAKE,LAKE,MONTVERDE ACADEMY,MONTVERDE ACADEMY
PASCO,PASCO,MOON LAKE ELEMENTARY SCHOOL,MOON LAKE ELEMENTARY SCHOOL
GLADES,GLADES,MOORE HAVEN ELEMENTARY SCHOOL,MOORE HAVEN ELEMENTARY SCHOOL
GLADES,GLADES,MOORE HAVEN MIDDLE HIGH SCHOOL.,MOORE HAVEN MIDDLE HIGH SCHOOL.
MIAMI-DADE,MIAMI-DADE,MORE TECH INSTITUTE,MORE TECH INSTITUTE
BROWARD,BROWARD,MORELAND'S ALTERNATIVE EDUCATIONAL ACADEMY,MORELAND'S ALTERNATIVE EDUCATIONAL ACADEMY
HILLSBOROUGH,HILLSBOROUGH,MORGAN WOODS ELEMENTARY SCHOOL,MORGAN WOODS ELEMENTARY SCHOOL
UNKNOWN,HILLSBOROUGH,MORGAN WOODS ELEMENTARY SCHOOL,MORGAN WOODS ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,MORIKAMI PARK ELEMENTARY SCHOOL,MORIKAMI PARK ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,MORNING STAR CATHOLIC SCHOOL,MORNING STAR CATHOLIC SCHOOL
ORANGE,ORANGE,MORNING STAR CATHOLIC SCHOOL,MORNING STAR CATHOLIC SCHOOL
DUVAL,DUVAL,MORNING STAR SCHOOL,MORNING STAR SCHOOL
PINELLAS,PINELLAS,MORNING STAR SCHOOL OF PINELLAS PARK,MORNING STAR SCHOOL OF PINELLAS PARK
ST. LUCIE,ST. LUCIE,MORNINGSIDE ACADEMY,MORNINGSIDE ACADEMY
ST. LUCIE,ST. LUCIE,MORNINGSIDE ELEMENTARY SCHOOL,MORNINGSIDE ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,MORNINGSIDE K-8 ACADEMY,MORNINGSIDE K-8 ACADEMY
BROWARD,BROWARD,MORNINGSTAR ACADEMY,MORNINGSTAR ACADEMY
BROWARD,BROWARD,MORROW ELEMENTARY SCHOOL,MORROW ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,MORT ELEMENTARY SCHOOL,MORT ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,MORT ELEMENTARY SCHOOL (TAMPA),MORT ELEMENTARY SCHOOL
BAY,BAY,MOSLEY HIGH SCHOOL,MOSLEY HIGH SCHOOL
ORANGE,ORANGE,MOSS PARK ELEMENTARY,MOSS PARK ELEMENTARY SCHOOL
WALTON,WALTON,MOSSY HEAD SCHOOL,MOSSY HEAD SCHOOL
MIAMI-DADE,MIAMI-DADE,MOTHER OF CHRIST CATHOLIC SCHOOL,MOTHER OF CHRIST CATHOLIC SCHOOL
UNKNOWN,MIAMI-DADE,DADE - MOTHER OF CHRIST CATHOLIC SCHOOL,MOTHER OF CHRIST CATHOLIC SCHOOL
MIAMI-DADE,MIAMI-DADE,MOTHER OF OUR REDEEMER CATHOLIC SCHOOL,MOTHER OF OUR REDEEMER CATHOLIC SCHOOL
HILLSBOROUGH,HILLSBOROUGH,MOTHER TERESA OF CALCUTTA CATHOLIC SCHOOL,MOTHER TERESA OF CALCUTTA CATHOLIC SCHOOL
HERNANDO,HERNANDO,MOTON ELEMENTARY SCHOOL,MOTON ELEMENTARY SCHOOL
LAKE,LAKE,MOUNT DORA CHRISTIAN ACADEMY,MOUNT DORA CHRISTIAN ACADEMY
PINELLAS,PINELLAS,MOUNT VERNON ELEMENTARY SCHOOL,MOUNT VERNON ELEMENTARY SCHOOL
PINELLAS,PINELLAS,MOUNT ZION CHRISTIAN ACADEMY,MOUNT ZION CHRISTIAN ACADEMY
PALM BEACH,PALM BEACH,MOUNTAINEER'S SCHOOL OF AUTISM INC.,MOUNTAINEER'S SCHOOL OF AUTISM INC.
BAY,BAY,MOWAT MIDDLE PANAMA,MOWAT MIDDLE PANAMA
BAY,BAY,MOWAT MIDDLE SCHOOL,MOWAT MIDDLE SCHOOL
VOLUSIA,VOLUSIA,MT. CALVARY ACADEMY,MT. CALVARY ACADEMY
LAKE,LAKE,MT. DORA HIGH SCHOOL,MT. DORA HIGH SCHOOL
LAKE,LAKE,MT. DORA MIDDLE SCHOOL,MT. DORA MIDDLE SCHOOL
DUVAL,DUVAL,MT. HERMAN ESE CENTER,MT. HERMAN ESE CENTER
PINELLAS,PINELLAS,MT. MORIAH CHRISTIAN FUNDAMENTAL ACADEMY,MT. MORIAH CHRISTIAN FUNDAMENTAL ACADEMY
POLK,POLK,MULBERRY CHRISTIAN ACADEMY,MULBERRY CHRISTIAN ACADEMY
POLK,POLK,MULBERRY HIGH SCHOOL,MULBERRY HIGH SCHOOL
POLK,POLK,MULBERRY SENIOR HIGH SCHOOL,MULBERRY HIGH SCHOOL
POLK,POLK,MULBERRY MIDDLE SCHOOL,MULBERRY MIDDLE SCHOOL
HILLSBOROUGH,HILLSBOROUGH,MULLER ELEMENTARY MAGNET SCHOOL,MULLER ELEMENTARY SCHOOL MAGNET SCHOOL
HILLSBOROUGH,HILLSBOROUGH,MULRENNAN MIDDLE SCHOOL,MULRENNAN MIDDLE SCHOOL
CHARLOTTE,CHARLOTTE,MURDOCK MIDDLE SCHOOL,MURDOCK MIDDLE SCHOOL
BROWARD,BROWARD,MURL-WINDSOR ACADEMY AT HOLLYWOOD,MURL-WINDSOR ACADEMY AT HOLLYWOOD
MARTIN,MARTIN,MURRAY MIDDLE SCHOOL,MURRAY MIDDLE SCHOOL
ORANGE,ORANGE,MUSLIM ACADEMY OF GREATER ORLANDO,MUSLIM ACADEMY OF GREATER ORLANDO
MIAMI-DADE,MIAMI-DADE,MY 1ST COLLEGE LC,MY 1ST COLLEGE LC
MIAMI-DADE,MIAMI-DADE,MY ACADEMY PRESCHOOL AND LEARNING CENTER,MY ACADEMY PRESCHOOL AND LEARNING CENTER
OSCEOLA,OSCEOLA,MY FIRST ACADEMY,MY FIRST ACADEMY
MIAMI-DADE,MIAMI-DADE,MY FIRST STEP LEARNING,MY FIRST STEP LEARNING
MIAMI-DADE,MIAMI-DADE,MY HAPPY HOUSE,MY HAPPY HOUSE
MIAMI-DADE,MIAMI-DADE,MY LITTLE WORLD,MY LITTLE WORLD
MANATEE,MANATEE,MYAKKA CITY ELEMENTARY SCHOOL,MYAKKA CITY ELEMENTARY SCHOOL
CHARLOTTE,CHARLOTTE,MYAKKA RIVER ELEMENTARY SCHOOL,MYAKKA RIVER ELEMENTARY SCHOOL
ALACHUA,ALACHUA,MYRA TERWILLIGER ELEMENTARY SCHOOL,MYRA TERWILLIGER ELEMENTARY SCHOOL
ESCAMBIA,ESCAMBIA,MYRTLE GROVE ELEMENTARY SCHOOL,MYRTLE GROVE ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,MYRTLE GROVE K-8 CENTER,MYRTLE GROVE K-8 CENTER
MIAMI-DADE,MIAMI-DADE,N DADE CENTER FOR MODERN LANGUAGE,N DADE CENTER FOR MODERN LANGUAGE
ESCAMBIA,ESCAMBIA,N. B. COOK ELEMENTARY SCHOOL,N. B. COOK ELEMENTARY SCHOOL
UNKNOWN,BROWARD,BROWARD - NANA'S PRESCHOOL AND LEARNING CENTER,NANA'S PRESCHOOL AND LEARNING CENTER
COLLIER,COLLIER,NAPLES CHRISTIAN ACADEMY,NAPLES CHRISTIAN ACADEMY
COLLIER,COLLIER,NAPLES HIGH SCHOOL,NAPLES HIGH SCHOOL
COLLIER,COLLIER,NAPLES HIGH SCHOOL TEACHER AND BASKETBALL COACH,NAPLES HIGH SCHOOL
COLLIER,COLLIER,NAPLES PARK ELEMENTARY,NAPLES PARK ELEMENTARY SCHOOL
COLLIER,COLLIER,NAPLES PARK ELEMENTARY SCHOOL,NAPLES PARK ELEMENTARY SCHOOL
OSCEOLA,OSCEOLA,NARCOOSSEE ELEMENTARY SCHOOL,NARCOOSSEE ELEMENTARY SCHOOL
OSCEOLA,OSCEOLA,NARCOOSSEE MIDDLE SCHOOL,NARCOOSSEE MIDDLE SCHOOL
NASSAU,NASSAU,NASSAU COUNTY ADULT SCHOOL,NASSAU COUNTY ADULT SCHOOL
NASSAU,NASSAU,NASSAU DISTRICT OFFICE,NASSAU DISTRICT OFFICE
DUVAL,DUVAL,NATALIA RICE ACADEMY 2,NATALIA RICE ACADEMY 2
MIAMI-DADE,MIAMI-DADE,NATHAN B. YOUNG ELEMENTARY SCHOOL,NATHAN B. YOUNG ELEMENTARY SCHOOL
UNKNOWN,PINELLAS,NATIONAL AVIATION ACADEMY,NATIONAL AVIATION ACADEMY - TAMPA BAY
PINELLAS,PINELLAS,NATIONAL AVIATION ACADEMY - TAMPA BAY,NATIONAL AVIATION ACADEMY - TAMPA BAY
PINELLAS,PINELLAS,NATIONAL AVIATION ACADEMY-TAMPA BAY,NATIONAL AVIATION ACADEMY - TAMPA BAY
PINELLAS,PINELLAS,NATIONAL UNIVERSITY OF HEALTH SCIENCES,NATIONAL UNIVERSITY OF HEALTH SCIENCES
HILLSBOROUGH,HILLSBOROUGH,NATIVITY CATHOLIC SCHOOL,NATIVITY CATHOLIC SCHOOL
BROWARD,BROWARD,NATIVITY SCHOOL,NATIVITY SCHOOL
MIAMI-DADE,MIAMI-DADE,NATURAL BRIDGE ELEMENTARY SCHOOL,NATURAL BRIDGE ELEMENTARY SCHOOL
LEVY,LEVY,NATURE COAST MIDDLE SCHOOL,NATURE COAST MIDDLE SCHOOL
HERNANDO,HERNANDO,NATURE COAST TECHNICAL HIGH,NATURE COAST TECHNICAL HIGH
SANTA ROSA,SANTA ROSA,NAVARRE HIGH SCHOOL,NAVARRE HIGH SCHOOL
SANTA ROSA,SANTA ROSA,NAVARRE UNITED METHODIST PRESCHOOL,NAVARRE UNITED METHODIST PRESCHOOL
POLK,POLK,NAVIGATOR ACADEMY OF LEADERSHIP DAVENPORT,NAVIGATOR ACADEMY OF LEADERSHIP DAVENPORT
HILLSBOROUGH,HILLSBOROUGH,NAVIGATOR ACADEMY OF LEADERSHIP VALRICO,NAVIGATOR ACADEMY OF LEADERSHIP VALRICO
ESCAMBIA,ESCAMBIA,NAVY POINT ELEMENTARY SCHOOL,NAVY POINT ELEMENTARY SCHOOL
OSCEOLA,OSCEOLA,NAZARET CHRISTIAN ACADEMY INC.,NAZARET CHRISTIAN ACADEMY INC.
CHARLOTTE,CHARLOTTE,NEIL ARMSTRONG ELEMENTARY SCHOOL,NEIL ARMSTRONG ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,NELSON ELEMENTARY SCHOOL,NELSON ELEMENTARY SCHOOL
OSCEOLA,OSCEOLA,NEOCITY ACADEMY,NEOCITY ACADEMY
DUVAL,DUVAL,NEPTUNE BEACH ELEMENTARY,NEPTUNE BEACH ELEMENTARY SCHOOL
DUVAL,DUVAL,NEPTUNE BEACH ELEMENTARY SCHOOL,NEPTUNE BEACH ELEMENTARY SCHOOL
OSCEOLA,OSCEOLA,NEPTUNE ELEMENTARY SCHOOL,NEPTUNE ELEMENTARY SCHOOL
OSCEOLA,OSCEOLA,NEPTUNE MIDDLE SCHOOL,NEPTUNE MIDDLE SCHOOL
MIAMI-DADE,MIAMI-DADE,NEVA KING COOPER EDUCATIONAL CENTER,NEVA KING COOPER EDUCATIONAL CENTER
COLLIER,COLLIER,NEW BEGINNINGS - NAPLES,NEW BEGINNINGS - NAPLES
DUVAL,DUVAL,NEW BEGINNINGS CHRISTIAN ACADEMY,NEW BEGINNINGS CHRISTIAN ACADEMY
OSCEOLA,OSCEOLA,NEW BEGINNINGS EDUCATION CENTER,NEW BEGINNINGS EDUCATION CENTER
POLK,POLK,NEW BEGINNINGS HIGH SCHOOL,NEW BEGINNINGS HIGH SCHOOL
COLLIER,COLLIER,NEW BEGINNINGS IMMOKALEE,NEW BEGINNINGS IMMOKALEE
DUVAL,DUVAL,NEW BERLIN ELEMENTARY SCHOOL,NEW BERLIN ELEMENTARY SCHOOL
MANATEE,MANATEE,NEW COLLEGE OF FLORIDA,NEW COLLEGE OF FLORIDA
MIAMI-DADE,MIAMI-DADE,NEW CONCEPT BEAUTY SCHOOL,NEW CONCEPT BEAUTY SCHOOL
OSCEOLA,OSCEOLA,NEW DIMENSIONS HIGH SCHOOL,NEW DIMENSIONS HIGH SCHOOL
POLK,POLK,NEW DIRECTION ACADEMY,NEW DIRECTION ACADEMY
SARASOTA,SARASOTA,NEW GATE SCHOOL,NEW GATE SCHOOL
SUWANNEE,SUWANNEE,NEW GENERATION CHRISTIAN LIVE OAK,NEW GENERATION CHRISTIAN LIVE OAK
COLUMBIA,COLUMBIA,NEW GENERATION CHRISTIAN MINISTRIES,NEW GENERATION CHRISTIAN MINISTRIES
BROWARD,BROWARD,NEW GENERATION MONTESSORI CHILDRENS ACADEMY,NEW GENERATION MONTESSORI CHILDRENS ACADEMY
PALM BEACH,PALM BEACH,NEW GENERATION MONTESSORI OF DELRAY BEACH,NEW GENERATION MONTESSORI OF DELRAY BEACH
