county,county_new,school,school_new
ESCAMBIA,ESCAMBIA,ALETHEIA CHRISTIAN ACADEMY,ALETHEIA CHRISTIAN ACADEMY
HILLSBOROUGH,HILLSBOROUGH,ALEXANDER ELEMENTARY SCHOOL,ALEXANDER ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,ALEXANDER MONTESSORI SCHOOL,ALEXANDER MONTESSORI SCHOOL
MIAMI-DADE,MIAMI-DADE,ALEXANDER SCHOOL INC.,"ALEXANDER SCHOOL, INC."
MIAMI-DADE,MIAMI-DADE,"ALEXANDER SCHOOL, INC.","ALEXANDER SCHOOL, INC."
MIAMI-DADE,MIAMI-DADE,"ALEXANDER SCHOOL, INC. 1ST CAMPUS","ALEXANDER SCHOOL, INC."
PALM BEACH,PALM BEACH,ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS,ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS
PALM BEACH,PALM BEACH,ALEXANDER W. DREYFOOS SCHOOL OF THE ARTS,ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS
PINELLAS,PINELLAS,ALFRED ADLER ELEMENTARY SCHOOL,ALFRED ADLER ELEMENTARY SCHOOL
DUVAL,DUVAL,ALFRED I. DUPONT MIDDLE SCHOOL,ALFRED I. DUPONT MIDDLE SCHOOL
MIAMI-DADE,MIAMI-DADE,ALHAMBRA HEIGHTS CHALLENGER SCHOOL,ALHAMBRA HEIGHTS CHALLENGER SCHOOL
ST. JOHNS,ST. JOHNS,ALICE B. LANDRUM MIDDLE SCHOOL,ALICE B. LANDRUM MIDDLE SCHOOL
DUVAL,DUVAL,ALIMACANI ELEMENTARY SCHOOL,ALIMACANI ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,ALL ABOUT KIDS LEARNING CENTER,ALL ABOUT KIDS LEARNING CENTER
PALM BEACH,PALM BEACH,ALL ABOUT KIDS LEARNING CENTER WPB,ALL ABOUT KIDS LEARNING CENTER
MIAMI-DADE,MIAMI-DADE,ALL ANGELS ACADEMY,ALL ANGELS ACADEMY
POLK,POLK,ALL HOPE CHRISTIAN ACADEMY,ALL HOPE CHRISTIAN ACADEMY
BROWARD,BROWARD,ALL SAINTS CATHOLIC SCHOOL,ALL SAINTS CATHOLIC SCHOOL
PALM BEACH,PALM BEACH,ALL SAINTS CATHOLIC SCHOOL,ALL SAINTS CATHOLIC SCHOOL
POLK,POLK,ALL SAINTS' ACADEMY,ALL SAINTS' ACADEMY
